snapshot,region,carrier,p_nom
1/12/2023,서울,fuelcell,86.1
1/12/2023,서울,IGCC,0
1/12/2023,서울,solar,45.869495
1/12/2023,서울,wind,0
1/12/2023,서울,water,0.3
1/12/2023,서울,ocean,0
1/12/2023,서울,bio,5.8
1/12/2023,서울,waste,0
1/11/2023,서울,fuelcell,86.1
1/11/2023,서울,IGCC,0
1/11/2023,서울,solar,46.067495
1/11/2023,서울,wind,0
1/11/2023,서울,water,0.3
1/11/2023,서울,ocean,0
1/11/2023,서울,bio,5.8
1/11/2023,서울,waste,0
1/10/2023,서울,fuelcell,86.1
1/10/2023,서울,IGCC,0
1/10/2023,서울,solar,46.626405
1/10/2023,서울,wind,0
1/10/2023,서울,water,0.3
1/10/2023,서울,ocean,0
1/10/2023,서울,bio,5.8
1/10/2023,서울,waste,0
1/9/2023,서울,fuelcell,86.1
1/9/2023,서울,IGCC,0
1/9/2023,서울,solar,46.12968
1/9/2023,서울,wind,0
1/9/2023,서울,water,0.3
1/9/2023,서울,ocean,0
1/9/2023,서울,bio,5.8
1/9/2023,서울,waste,0
1/8/2023,서울,fuelcell,86.1
1/8/2023,서울,IGCC,0
1/8/2023,서울,solar,46.18236
1/8/2023,서울,wind,0
1/8/2023,서울,water,0.3
1/8/2023,서울,ocean,0
1/8/2023,서울,bio,5.8
1/8/2023,서울,waste,0
1/7/2023,서울,fuelcell,86.1
1/7/2023,서울,IGCC,0
1/7/2023,서울,solar,46.049455
1/7/2023,서울,wind,0
1/7/2023,서울,water,0.3
1/7/2023,서울,ocean,0
1/7/2023,서울,bio,5.8
1/7/2023,서울,waste,0
1/6/2023,서울,fuelcell,85.8
1/6/2023,서울,IGCC,0
1/6/2023,서울,solar,46.778455
1/6/2023,서울,wind,0
1/6/2023,서울,water,0.3
1/6/2023,서울,ocean,0
1/6/2023,서울,bio,5.8
1/6/2023,서울,waste,0
1/5/2023,서울,fuelcell,85.8
1/5/2023,서울,IGCC,0
1/5/2023,서울,solar,46.38942
1/5/2023,서울,wind,0
1/5/2023,서울,water,0.3
1/5/2023,서울,ocean,0
1/5/2023,서울,bio,6.865
1/5/2023,서울,waste,0
1/4/2023,서울,fuelcell,85.8
1/4/2023,서울,IGCC,0
1/4/2023,서울,solar,46.57942
1/4/2023,서울,wind,0
1/4/2023,서울,water,0.316
1/4/2023,서울,ocean,0
1/4/2023,서울,bio,6.865
1/4/2023,서울,waste,0
1/3/2023,서울,fuelcell,68.4
1/3/2023,서울,IGCC,0
1/3/2023,서울,solar,46.838085
1/3/2023,서울,wind,0
1/3/2023,서울,water,0.316
1/3/2023,서울,ocean,0
1/3/2023,서울,bio,6.865
1/3/2023,서울,waste,0
1/2/2023,서울,fuelcell,68.4
1/2/2023,서울,IGCC,0
1/2/2023,서울,solar,46.838085
1/2/2023,서울,wind,0
1/2/2023,서울,water,0.316
1/2/2023,서울,ocean,0
1/2/2023,서울,bio,6.865
1/2/2023,서울,waste,0
1/1/2023,서울,fuelcell,68.4
1/1/2023,서울,IGCC,0
1/1/2023,서울,solar,46.831825
1/1/2023,서울,wind,0
1/1/2023,서울,water,0.316
1/1/2023,서울,ocean,0
1/1/2023,서울,bio,6.865
1/1/2023,서울,waste,0
1/12/2022,서울,fuelcell,68.4
1/12/2022,서울,IGCC,0
1/12/2022,서울,solar,46.6198
1/12/2022,서울,wind,0
1/12/2022,서울,water,0.316
1/12/2022,서울,ocean,0
1/12/2022,서울,bio,6.865
1/12/2022,서울,waste,0
1/11/2022,서울,fuelcell,68.4
1/11/2022,서울,IGCC,0
1/11/2022,서울,solar,45.987865
1/11/2022,서울,wind,0
1/11/2022,서울,water,0.316
1/11/2022,서울,ocean,0
1/11/2022,서울,bio,6.865
1/11/2022,서울,waste,0
1/10/2022,서울,fuelcell,68.4
1/10/2022,서울,IGCC,0
1/10/2022,서울,solar,45.570695
1/10/2022,서울,wind,0
1/10/2022,서울,water,0.316
1/10/2022,서울,ocean,0
1/10/2022,서울,bio,6.865
1/10/2022,서울,waste,0
1/9/2022,서울,fuelcell,68.4
1/9/2022,서울,IGCC,0
1/9/2022,서울,solar,45.570695
1/9/2022,서울,wind,0
1/9/2022,서울,water,0.316
1/9/2022,서울,ocean,0
1/9/2022,서울,bio,6.865
1/9/2022,서울,waste,0
1/8/2022,서울,fuelcell,68.4
1/8/2022,서울,IGCC,0
1/8/2022,서울,solar,45.614375
1/8/2022,서울,wind,0
1/8/2022,서울,water,0.316
1/8/2022,서울,ocean,0
1/8/2022,서울,bio,6.865
1/8/2022,서울,waste,0
1/7/2022,서울,fuelcell,68.1
1/7/2022,서울,IGCC,0
1/7/2022,서울,solar,45.603455
1/7/2022,서울,wind,0
1/7/2022,서울,water,0.316
1/7/2022,서울,ocean,0
1/7/2022,서울,bio,6.865
1/7/2022,서울,waste,0
1/6/2022,서울,fuelcell,68.1
1/6/2022,서울,IGCC,0
1/6/2022,서울,solar,45.603455
1/6/2022,서울,wind,0
1/6/2022,서울,water,0.316
1/6/2022,서울,ocean,0
1/6/2022,서울,bio,6.865
1/6/2022,서울,waste,0
1/5/2022,서울,fuelcell,68.1
1/5/2022,서울,IGCC,0
1/5/2022,서울,solar,45.588565
1/5/2022,서울,wind,0
1/5/2022,서울,water,0.316
1/5/2022,서울,ocean,0
1/5/2022,서울,bio,6.865
1/5/2022,서울,waste,0
1/4/2022,서울,fuelcell,68.1
1/4/2022,서울,IGCC,0
1/4/2022,서울,solar,46.370785
1/4/2022,서울,wind,0
1/4/2022,서울,water,0.316
1/4/2022,서울,ocean,0
1/4/2022,서울,bio,6.865
1/4/2022,서울,waste,0
1/3/2022,서울,fuelcell,68.1
1/3/2022,서울,IGCC,0
1/3/2022,서울,solar,44.626325
1/3/2022,서울,wind,0
1/3/2022,서울,water,0.316
1/3/2022,서울,ocean,0
1/3/2022,서울,bio,6.865
1/3/2022,서울,waste,0
1/2/2022,서울,fuelcell,68.1
1/2/2022,서울,IGCC,0
1/2/2022,서울,solar,43.151105
1/2/2022,서울,wind,0
1/2/2022,서울,water,0.316
1/2/2022,서울,ocean,0
1/2/2022,서울,bio,6.865
1/2/2022,서울,waste,0
1/1/2022,서울,fuelcell,67.8
1/1/2022,서울,IGCC,0
1/1/2022,서울,solar,43.091105
1/1/2022,서울,wind,0
1/1/2022,서울,water,0.316
1/1/2022,서울,ocean,0
1/1/2022,서울,bio,6.865
1/1/2022,서울,waste,0
1/12/2021,서울,fuelcell,67.8
1/12/2021,서울,IGCC,0
1/12/2021,서울,solar,41.890405
1/12/2021,서울,wind,0
1/12/2021,서울,water,0.316
1/12/2021,서울,ocean,0
1/12/2021,서울,bio,6.865
1/12/2021,서울,waste,0
1/11/2021,서울,fuelcell,67.8
1/11/2021,서울,IGCC,0
1/11/2021,서울,solar,41.854405
1/11/2021,서울,wind,0
1/11/2021,서울,water,0.316
1/11/2021,서울,ocean,0
1/11/2021,서울,bio,6.865
1/11/2021,서울,waste,0
1/10/2021,서울,fuelcell,67.8
1/10/2021,서울,IGCC,0
1/10/2021,서울,solar,41.854405
1/10/2021,서울,wind,0
1/10/2021,서울,water,0.316
1/10/2021,서울,ocean,0
1/10/2021,서울,bio,6.865
1/10/2021,서울,waste,0
1/9/2021,서울,fuelcell,67.8
1/9/2021,서울,IGCC,0
1/9/2021,서울,solar,43.041255
1/9/2021,서울,wind,0
1/9/2021,서울,water,0.316
1/9/2021,서울,ocean,0
1/9/2021,서울,bio,6.865
1/9/2021,서울,waste,0
1/8/2021,서울,fuelcell,67.8
1/8/2021,서울,IGCC,0
1/8/2021,서울,solar,40.863925
1/8/2021,서울,wind,0
1/8/2021,서울,water,0.316
1/8/2021,서울,ocean,0
1/8/2021,서울,bio,6.865
1/8/2021,서울,waste,0
1/7/2021,서울,fuelcell,67.8
1/7/2021,서울,IGCC,0
1/7/2021,서울,solar,40.7768
1/7/2021,서울,wind,0
1/7/2021,서울,water,0.316
1/7/2021,서울,ocean,0
1/7/2021,서울,bio,6.865
1/7/2021,서울,waste,0
1/6/2021,서울,fuelcell,67.8
1/6/2021,서울,IGCC,0
1/6/2021,서울,solar,40.6238
1/6/2021,서울,wind,0
1/6/2021,서울,water,0.316
1/6/2021,서울,ocean,0
1/6/2021,서울,bio,6.865
1/6/2021,서울,waste,0
