snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/8/2024,oil,KR,generators,generators_t,fuel_cost,359.503,FALSE,national
1/8/2024,LNG,KR,generators,generators_t,fuel_cost,140.51,FALSE,national
1/7/2024,nuclear,KR,generators,generators_t,fuel_cost,6.413,FALSE,national
1/7/2024,bituminous,KR,generators,generators_t,fuel_cost,78.269,FALSE,national
1/7/2024,anthracite,KR,generators,generators_t,fuel_cost,102.435,FALSE,national
1/7/2024,oil,KR,generators,generators_t,fuel_cost,360.015,FALSE,national
1/7/2024,LNG,KR,generators,generators_t,fuel_cost,133.075,FALSE,national
1/6/2024,nuclear,KR,generators,generators_t,fuel_cost,6.421,FALSE,national
1/6/2024,bituminous,KR,generators,generators_t,fuel_cost,78.273,FALSE,national
1/6/2024,anthracite,KR,generators,generators_t,fuel_cost,97.406,FALSE,national
1/6/2024,oil,KR,generators,generators_t,fuel_cost,358.215,FALSE,national
1/6/2024,LNG,KR,generators,generators_t,fuel_cost,130.587,FALSE,national
1/5/2024,nuclear,KR,generators,generators_t,fuel_cost,6.415,FALSE,national
1/5/2024,bituminous,KR,generators,generators_t,fuel_cost,78.491,FALSE,national
1/5/2024,anthracite,KR,generators,generators_t,fuel_cost,103.542,FALSE,national
1/5/2024,oil,KR,generators,generators_t,fuel_cost,345.997,FALSE,national
1/5/2024,LNG,KR,generators,generators_t,fuel_cost,133.1954,FALSE,national
1/4/2024,nuclear,KR,generators,generators_t,fuel_cost,6.421,FALSE,national
1/4/2024,bituminous,KR,generators,generators_t,fuel_cost,77.416,FALSE,national
1/4/2024,anthracite,KR,generators,generators_t,fuel_cost,101.091,FALSE,national
1/4/2024,oil,KR,generators,generators_t,fuel_cost,346.384,FALSE,national
1/4/2024,LNG,KR,generators,generators_t,fuel_cost,136.532,FALSE,national
1/3/2024,nuclear,KR,generators,generators_t,fuel_cost,6.422,FALSE,national
1/3/2024,bituminous,KR,generators,generators_t,fuel_cost,76.1568,FALSE,national
1/3/2024,anthracite,KR,generators,generators_t,fuel_cost,79.789,FALSE,national
1/3/2024,oil,KR,generators,generators_t,fuel_cost,346.715,FALSE,national
1/3/2024,LNG,KR,generators,generators_t,fuel_cost,148.73,FALSE,national
1/2/2024,nuclear,KR,generators,generators_t,fuel_cost,6.41186,FALSE,national
1/2/2024,bituminous,KR,generators,generators_t,fuel_cost,71.40514,FALSE,national
1/2/2024,anthracite,KR,generators,generators_t,fuel_cost,61.09152,FALSE,national
1/2/2024,oil,KR,generators,generators_t,fuel_cost,347.99587,FALSE,national
1/2/2024,LNG,KR,generators,generators_t,fuel_cost,149.9008,FALSE,national
1/1/2024,nuclear,KR,generators,generators_t,fuel_cost,6.41612,FALSE,national
1/1/2024,bituminous,KR,generators,generators_t,fuel_cost,71.79142,FALSE,national
