snapshot,carrier,marginalcost_t
1/9/2024,anthracite,149269.06
1/9/2024,oil,569623.0207
1/9/2024,LNG,178030.593
1/9/2024,PSH,215075.0977
1/9/2024,fuelcell,136415.2816
1/9/2024,IGCC,168585.6292
1/9/2024,solar,145783.0468
1/9/2024,wind,136029.4787
1/9/2024,hydro,154610.4365
1/9/2024,ocean,132554.9092
1/9/2024,bio,165091.7841
1/9/2024,waste,
1/9/2024,miscellaneous,151567.9709
1/8/2024,nuclear,86207.84928
1/8/2024,bituminous,172058.1889
1/8/2024,anthracite,162469.8706
1/8/2024,oil,550721.7342
1/8/2024,LNG,186848.2071
1/8/2024,PSH,245086.1882
1/8/2024,fuelcell,143774.1595
1/8/2024,IGCC,177564.8084
1/8/2024,solar,154405.0016
1/8/2024,wind,142924.6614
1/8/2024,hydro,163340.777
1/8/2024,ocean,139793.1944
1/8/2024,bio,172878.0209
1/8/2024,waste,
1/8/2024,miscellaneous,868811.3568
1/7/2024,nuclear,79922.97273
1/7/2024,bituminous,161613.4574
1/7/2024,anthracite,143110.661
1/7/2024,oil,809062.174
1/7/2024,LNG,181541.3032
1/7/2024,PSH,226513.7939
1/7/2024,fuelcell,130197.6136
1/7/2024,IGCC,144912.2646
1/7/2024,solar,143640.2183
1/7/2024,wind,129606.356
1/7/2024,hydro,147193.4597
1/7/2024,ocean,124917.2773
1/7/2024,bio,158634.7281
1/7/2024,waste,
1/7/2024,miscellaneous,143196.9499
1/6/2024,nuclear,71419.63265
1/6/2024,bituminous,148335.1278
1/6/2024,anthracite,134681.9738
1/6/2024,oil,608486.0096
1/6/2024,LNG,167876.1695
1/6/2024,PSH,190071.7694
1/6/2024,fuelcell,123903.4684
1/6/2024,IGCC,136234.9136
1/6/2024,solar,135392.4751
1/6/2024,wind,122063.4779
1/6/2024,hydro,138939.9127
1/6/2024,ocean,118370.072
1/6/2024,bio,145571.1009
1/6/2024,waste,
1/6/2024,miscellaneous,139035.7345
1/5/2024,nuclear,69137.90444
1/5/2024,bituminous,144447.8542
1/5/2024,anthracite,134294.0336
1/5/2024,oil,420109.6944
1/5/2024,LNG,163635.5621
1/5/2024,PSH,179192.5508
1/5/2024,fuelcell,124836.9267
1/5/2024,IGCC,0
1/5/2024,solar,132954.9548
1/5/2024,wind,121918.8688
1/5/2024,hydro,135111.0103
1/5/2024,ocean,120095.0578
1/5/2024,bio,140514.8949
1/5/2024,waste,
1/5/2024,miscellaneous,136810.6526
1/4/2024,nuclear,68287.2885
1/4/2024,bituminous,141648.3461
1/4/2024,anthracite,136929.5703
1/4/2024,oil,364880.6236
1/4/2024,LNG,167016.8222
1/4/2024,PSH,185659.4726
1/4/2024,fuelcell,123886.5417
1/4/2024,IGCC,146319.9587
1/4/2024,solar,125521.347
1/4/2024,wind,127704.0815
1/4/2024,hydro,133174.6976
1/4/2024,ocean,121570.3542
1/4/2024,bio,152519.6043
1/4/2024,waste,
1/4/2024,miscellaneous,134077.0338
1/3/2024,nuclear,52354.61683
1/3/2024,bituminous,130615.3711
1/3/2024,anthracite,151106.1564
1/3/2024,oil,331456.7061
1/3/2024,LNG,177758.2019
1/3/2024,PSH,208942.0016
1/3/2024,fuelcell,132185.6838
1/3/2024,IGCC,148606.1964
1/3/2024,solar,130955.0288
1/3/2024,wind,131147.4633
1/3/2024,hydro,151765.6255
