name,x,y,v_nom,carrier,country,province,country
0,128.9622473,37.25607877,765000,AC,KR,강원,South Korea
1,127.5048156,37.61896221,765000,AC,KR,경기,South Korea
2,128.4285239,35.93172515,345000,AC,KR,경남,South Korea
3,128.6343911,35.82569015,154000,AC,KR,대구,South Korea
4,127.3740706,36.45952757,345000,AC,KR,대전,South Korea
5,127.3391025,36.95011137,345000,AC,KR,충북,South Korea
6,127.2450868,37.02215175,154000,AC,KR,경기,South Korea
7,127.0498448,37.02921321,345000,AC,KR,경기,South Korea
8,126.7877532,36.46655162,345000,AC,KR,충남,South Korea
9,127.0080941,36.86978618,345000,AC,KR,충남,South Korea
10,127.5313825,36.29438343,345000,AC,KR,충북,South Korea
11,127.3523365,36.75668478,765000,AC,KR,충북,South Korea
12,126.6426613,36.76949321,765000,AC,KR,충남,South Korea
13,128.5612378,38.18455262,154000,AC,KR,강원,South Korea
14,128.5758274,38.0923665,154000,AC,KR,강원,South Korea
15,126.9237956,36.78947471,345000,AC,KR,충남,South Korea
16,126.4913837,36.39755177,345000,AC,KR,충남,South Korea
17,126.8262443,36.73296545,154000,AC,KR,충남,South Korea
18,127.0448277,36.76205271,154000,AC,KR,충남,South Korea
19,127.0957188,36.91392583,154000,AC,KR,충남,South Korea
20,126.8774019,36.83920953,154000,AC,KR,충남,South Korea
21,127.2303165,37.10806706,765000,AC,KR,경기,South Korea
22,126.6858226,37.9052454,154000,AC,KR,경기,South Korea
23,126.7850006,37.81579811,345000,AC,KR,경기,South Korea
24,127.2168945,36.7027039,154000,AC,KR,세종,South Korea
25,127.1246128,36.77550668,154000,AC,KR,충남,South Korea
26,127.2120189,36.8857259,154000,AC,KR,충남,South Korea
27,127.3859999,36.82171765,345000,AC,KR,충북,South Korea
28,126.8259946,37.00387842,345000,AC,KR,경기,South Korea
29,127.2739737,38.05012531,154000,AC,KR,경기,South Korea
30,127.1593329,37.94893559,345000,AC,KR,경기,South Korea
31,127.2220238,37.91678217,154000,AC,KR,경기,South Korea
32,129.3957555,35.94840142,345000,AC,KR,경기,South Korea
33,129.4680447,35.71866052,345000,AC,KR,경북,South Korea
34,129.3331318,36.04640509,345000,AC,KR,경북,South Korea
35,129.352769,35.72699741,345000,AC,KR,경북,South Korea
36,129.216508,35.67582249,345000,AC,KR,울산,South Korea
37,129.2883131,35.70542257,345000,AC,KR,경북,South Korea
38,129.3401558,35.48313632,345000,AC,KR,울산,South Korea
39,129.3777091,35.63836781,345000,AC,KR,울산,South Korea
40,129.1620915,35.23123398,345000,AC,KR,부산,South Korea
41,129.2939075,35.32577917,765000,AC,KR,부산,South Korea
42,126.4178661,35.40815812,380000,AC,KR,전남,South Korea
43,126.9209952,35.20589104,345000,AC,KR,광주,South Korea
44,127.3325801,35.4834099,345000,AC,KR,전북,South Korea
45,126.4819983,35.3759684,154000,AC,KR,전남,South Korea
46,126.4801702,35.28201107,154000,AC,KR,전남,South Korea
47,129.3814259,37.08995407,765000,AC,KR,경북,South Korea
48,129.3352197,37.18706443,345000,AC,KR,강원,South Korea
49,128.7340273,36.8161237,345000,AC,KR,경북,South Korea
50,127.3074737,36.36284598,154000,AC,KR,대전,South Korea
51,127.3664575,36.32500715,154000,AC,KR,대전,South Korea
