name,x,y,v_nom,carrier,country,province,country
52,126.5840833,36.38145554,154000,AC,KR,충남,South Korea
53,126.8806301,35.96312907,345000,AC,KR,전북,South Korea
54,127.5010533,36.2361213,154000,AC,KR,충남,South Korea
55,128.5440247,38.01584666,345000,AC,KR,강원,South Korea
56,128.9216052,37.6469428,345000,AC,KR,강원,South Korea
57,126.5178708,37.0502623,765000,AC,KR,충남,South Korea
58,126.4424626,37.24425517,345000,AC,KR,인천,South Korea
59,126.5663039,37.27480145,345000,AC,KR,경기,South Korea
60,128.5161407,38.2069454,154000,AC,KR,강원,South Korea
61,128.4490594,38.3853717,154000,AC,KR,강원,South Korea
62,129.0256401,35.2371258,345000,AC,KR,부산,South Korea
63,129.0139287,35.32923721,154000,AC,KR,경남,South Korea
64,126.7641443,37.35176688,345000,AC,KR,경기,South Korea
65,127.4044199,36.69750914,154000,AC,KR,충북,South Korea
66,127.2710484,36.9737198,154000,AC,KR,경기,South Korea
67,127.4410657,36.88284009,154000,AC,KR,충북,South Korea
68,127.0095354,37.48653367,345000,AC,KR,서울,South Korea
69,128.835037,37.7915579,154000,AC,KR,강원,South Korea
70,128.7918762,37.88175002,154000,AC,KR,강원,South Korea
71,127.4284624,36.98614409,154000,AC,KR,충북,South Korea
72,126.420097,36.98125392,154000,AC,KR,충남,South Korea
73,129.2384181,36.0819143,345000,AC,KR,경북,South Korea
74,128.5684224,36.77517452,345000,AC,KR,경북,South Korea
75,128.697132,34.8669125,154000,AC,KR,경남,South Korea
76,128.6089764,34.88234032,154000,AC,KR,경남,South Korea
77,126.7016908,34.72862454,345000,AC,KR,전남,South Korea
78,126.6155115,34.41325536,154000,AC,KR,전남,South Korea
79,129.176299,35.40645748,345000,AC,KR,경남,South Korea
80,127.0154956,35.75176343,345000,AC,KR,전북,South Korea
81,126.6536951,33.3666641,154000,AC,KR,제주,South Korea
82,126.7648172,33.3683859,154000,AC,KR,제주,South Korea
83,126.8553701,33.4432819,154000,AC,KR,제주,South Korea
84,126.6926656,33.4775535,154000,AC,KR,제주,South Korea
85,126.6045751,33.5227998,180000,AC,KR,제주,South Korea
86,126.6394511,33.28318421,154000,AC,KR,제주,South Korea
87,126.3621505,33.30546496,154000,AC,KR,제주,South Korea
88,126.5113613,33.27817941,154000,AC,KR,제주,South Korea
89,126.4851012,33.46932952,250000,AC,KR,제주,South Korea
90,126.5556866,33.50234994,154000,AC,KR,제주,South Korea
91,126.2733861,33.40124111,154000,AC,KR,제주,South Korea
92,128.8093204,35.87984781,345000,AC,KR,경북,South Korea
93,128.6910084,35.73491978,345000,AC,KR,경북,South Korea
94,128.3792269,35.78851905,154000,AC,KR,경북,South Korea
95,128.4851945,36.0292395,345000,AC,KR,경북,South Korea
96,128.2974445,35.9314027,154000,AC,KR,경북,South Korea
97,128.4029564,35.73401477,345000,AC,KR,경북,South Korea
98,127.7879573,36.141483,345000,AC,KR,충북,South Korea
99,128.2974708,35.8228977,345000,AC,KR,경북,South Korea
100,127.3204672,36.2812132,154000,AC,KR,대전,South Korea
101,127.2604107,36.2328014,345000,AC,KR,충남,South Korea
102,128.3584357,35.9526338,345000,AC,KR,경북,South Korea
103,127.1100953,36.177622,154000,AC,KR,충남,South Korea
104,127.0514552,35.83370326,345000,AC,KR,전북,South Korea
105,128.8289447,35.75199509,345000,AC,KR,경북,South Korea
106,128.9078249,35.8099031,345000,AC,KR,경북,South Korea
107,129.2788148,35.5566239,154000,AC,KR,울산,South Korea
108,129.1533427,35.56843934,345000,AC,KR,울산,South Korea
109,129.1011022,35.51025218,154000,AC,KR,울산,South Korea
110,128.9631142,35.98977898,154000,AC,KR,경북,South Korea
111,128.1254398,35.34237258,345000,AC,KR,경남,South Korea
112,128.6093302,35.7282565,345000,AC,KR,경북,South Korea
113,128.6724312,35.6356817,154000,AC,KR,경북,South Korea
114,128.5548827,35.95493774,345000,AC,KR,경북,South Korea
115,128.0972046,36.0803197,154000,AC,KR,경북,South Korea
116,127.4613223,36.55334729,345000,AC,KR,충북,South Korea
117,129.035335,35.8921378,154000,AC,KR,경북,South Korea
118,128.1646862,35.58203928,154000,AC,KR,경남,South Korea
119,127.4680539,35.45080075,345000,AC,KR,전북,South Korea
120,126.9328438,34.9642218,345000,AC,KR,전남,South Korea
121,127.4539328,35.7805615,154000,AC,KR,전북,South Korea
122,127.5175232,35.6747939,154000,AC,KR,전북,South Korea
123,128.5177605,35.27745509,345000,AC,KR,경남,South Korea
124,128.7908098,35.21519295,345000,AC,KR,경남,South Korea
125,128.6903702,35.4140512,154000,AC,KR,경남,South Korea
126,128.1167896,34.9192026,345000,AC,KR,경남,South Korea
127,128.6679368,35.19949179,345000,AC,KR,경남,South Korea
128,128.5554776,35.17181442,154000,AC,KR,경남,South Korea
129,128.8916391,35.2297713,154000,AC,KR,경남,South Korea
130,127.8188023,34.95675511,345000,AC,KR,경남,South Korea
131,128.8773104,35.41376343,154000,AC,KR,경남,South Korea
132,127.5267876,35.00844414,345000,AC,KR,전남,South Korea
133,126.9123922,35.10629711,154000,AC,KR,광주,South Korea
134,127.6228922,34.97116505,345000,AC,KR,전남,South Korea
135,126.9326976,36.47235052,154000,AC,KR,충남,South Korea
136,127.5467827,34.90700091,345000,AC,KR,전남,South Korea
137,127.4414331,35.0388032,154000,AC,KR,전남,South Korea
138,127.5822906,36.31065996,154000,AC,KR,충북,South Korea
139,128.1488946,36.42194438,154000,AC,KR,경북,South Korea
140,127.1608929,36.48152495,154000,AC,KR,충남,South Korea
141,127.2954922,36.4241845,154000,AC,KR,세종,South Korea
142,127.6951785,34.8225452,345000,AC,KR,전남,South Korea
143,127.2597944,35.04365503,154000,AC,KR,전남,South Korea
144,126.6907339,35.99073805,345000,AC,KR,전북,South Korea
145,127.775337,35.5302635,154000,AC,KR,경남,South Korea
146,127.6756321,34.96931703,154000,AC,KR,전남,South Korea
147,127.7401447,34.93858722,345000,AC,KR,전남,South Korea
148,127.8267865,35.0540218,154000,AC,KR,경남,South Korea
149,128.4608832,35.12731135,154000,AC,KR,경남,South Korea
150,128.2789472,35.3143512,154000,AC,KR,경남,South Korea
151,128.0566128,35.1950944,154000,AC,KR,경남,South Korea
152,127.2429147,37.3079666,154000,AC,KR,경기,South Korea
153,126.8785833,37.12511601,345000,AC,KR,경기,South Korea
154,127.3428503,36.64512615,154000,AC,KR,충북,South Korea
155,127.4433426,36.6066046,154000,AC,KR,충북,South Korea
156,127.3703438,36.5830552,154000,AC,KR,충북,South Korea
157,126.7522998,36.7863259,345000,AC,KR,충남,South Korea
158,126.5863475,36.85171412,345000,AC,KR,충남,South Korea
159,126.4541882,36.82060389,345000,AC,KR,충남,South Korea
160,126.7576502,37.71032294,345000,AC,KR,경기,South Korea
161,128.2133475,37.17212375,345000,AC,KR,충북,South Korea
162,127.0406073,36.21973713,154000,AC,KR,충남,South Korea
163,127.2312646,36.2983164,154000,AC,KR,충남,South Korea
164,127.0263046,37.81956942,154000,AC,KR,경북,South Korea
165,127.0138595,37.76056295,154000,AC,KR,경기,South Korea
166,127.4879608,37.74178845,154000,AC,KR,경기,South Korea
167,127.3474888,37.63314467,154000,AC,KR,경기,South Korea
168,127.2350948,37.8002146,345000,AC,KR,경기,South Korea
169,128.8968847,35.9674012,154000,AC,KR,경북,South Korea
170,127.3351146,38.17917804,154000,AC,KR,강원,South Korea
171,129.1003065,37.49306443,345000,AC,KR,강원,South Korea
172,128.9834618,37.73300548,154000,AC,KR,강원,South Korea
173,127.4404525,37.26325307,154000,AC,KR,경기,South Korea
174,127.4186343,37.3221374,154000,AC,KR,경기,South Korea
175,127.7833338,37.1925537,345000,AC,KR,강원,South Korea
176,129.2414519,37.3173195,345000,AC,KR,강원,South Korea
177,129.2029771,37.3636554,345000,AC,KR,강원,South Korea
178,126.9403309,37.21596054,154000,AC,KR,경기,South Korea
179,126.7170045,37.41494894,154000,AC,KR,인천,South Korea
180,128.5516649,35.61074102,765000,AC,KR,경남,South Korea
181,128.542577,35.3576235,154000,AC,KR,경남,South Korea
182,128.4889323,35.35763698,154000,AC,KR,경남,South Korea
183,128.4560869,35.67521242,154000,AC,KR,대구,South Korea
184,128.5353757,35.44564615,154000,AC,KR,경남,South Korea
185,128.6504708,35.27797421,154000,AC,KR,경남,South Korea
186,127.5497963,37.7476615,345000,AC,KR,강원,South Korea
187,127.0814525,37.88514616,345000,AC,KR,경기,South Korea
188,127.7660615,37.83943378,154000,AC,KR,강원,South Korea
189,127.0279056,37.957578,345000,AC,KR,경기,South Korea
190,129.0406039,35.18553365,154000,AC,KR,부산,South Korea
191,127.1793692,35.8421461,154000,AC,KR,전북,South Korea
192,128.4259705,36.15501257,345000,AC,KR,경북,South Korea
193,128.8702474,37.73731968,154000,AC,KR,강원,South Korea
194,128.6808073,37.67235823,154000,AC,KR,강원,South Korea
195,126.9796439,37.1423061,154000,AC,KR,경기,South Korea
196,128.3723931,38.3571281,154000,AC,KR,강원,South Korea
197,128.7454672,35.4856263,154000,AC,KR,경남,South Korea
198,129.4810294,35.96470084,154000,AC,KR,경북,South Korea
199,127.7776294,35.07732863,154000,AC,KR,경남,South Korea
200,127.8915723,34.85237084,154000,AC,KR,경남,South Korea
201,127.9136769,35.66563825,154000,AC,KR,경남,South Korea
202,128.376749,34.96144354,154000,AC,KR,경남,South Korea
203,128.2315327,36.6621744,154000,AC,KR,경북,South Korea
204,126.591662,34.36832458,180000,AC,KR,전남,South Korea
205,128.2812851,36.65541665,154000,AC,KR,경북,South Korea
206,126.7256482,34.32705565,154000,AC,KR,전남,South Korea
207,126.7562052,34.66825304,154000,AC,KR,전남,South Korea
208,128.7542944,36.57698655,154000,AC,KR,경북,South Korea
209,126.5761082,34.56649863,154000,AC,KR,전남,South Korea
210,127.4201553,37.72244328,154000,AC,KR,경기,South Korea
211,126.7795422,35.2320077,154000,AC,KR,전남,South Korea
212,126.7529322,35.13392201,154000,AC,KR,광주,South Korea
213,129.3071835,35.95898206,154000,AC,KR,경북,South Korea
214,128.4237438,36.7549388,345000,AC,KR,경북,South Korea
215,127.8054357,37.01939532,345000,AC,KR,충북,South Korea
216,127.6887347,37.0278552,154000,AC,KR,충북,South Korea
217,127.7018304,36.95235564,154000,AC,KR,충북,South Korea
218,127.8023722,36.908628,154000,AC,KR,충북,South Korea
219,127.7622313,36.8477015,154000,AC,KR,충북,South Korea
220,126.8189317,34.9873578,154000,AC,KR,전남,South Korea
221,126.730894,34.98649777,154000,AC,KR,전남,South Korea
222,127.9233702,36.92711957,154000,AC,KR,충북,South Korea
223,127.5830512,36.92326446,154000,AC,KR,충북,South Korea
224,127.4945786,36.9141165,154000,AC,KR,충북,South Korea
225,126.4071293,34.82263738,154000,AC,KR,전남,South Korea
226,126.6832358,34.83400749,154000,AC,KR,전남,South Korea
227,126.9166068,35.61256896,154000,AC,KR,전북,South Korea
228,126.4581922,34.7627303,154000,AC,KR,전남,South Korea
229,126.3906304,34.74208497,154000,AC,KR,전남,South Korea
230,128.8542491,35.2678541,154000,AC,KR,경남,South Korea
231,127.645682,37.27863343,154000,AC,KR,경기,South Korea
232,127.7878526,37.29126246,154000,AC,KR,강원,South Korea
233,127.6901366,37.12928565,154000,AC,KR,충북,South Korea
234,127.1609114,37.6943817,154000,AC,KR,경기,South Korea
235,128.3775157,35.26493297,154000,AC,KR,경남,South Korea
236,127.3800882,35.43869072,154000,AC,KR,전북,South Korea
237,127.3234717,34.85344233,154000,AC,KR,전남,South Korea
238,127.0823131,34.7849637,154000,AC,KR,전남,South Korea
239,126.2399644,36.8420888,345000,AC,KR,충남,South Korea
240,126.2239875,36.90024086,345000,AC,KR,충남,South Korea
241,128.1805414,37.4911626,154000,AC,KR,강원,South Korea
242,128.4181219,37.4169384,154000,AC,KR,강원,South Korea
243,127.4304601,34.94796105,154000,AC,KR,전남,South Korea
244,127.2543732,34.5782045,154000,AC,KR,전남,South Korea
245,126.9220709,34.70119693,154000,AC,KR,전남,South Korea
246,127.9496533,37.31657516,154000,AC,KR,강원,South Korea
247,126.387812,35.0143506,154000,AC,KR,전남,South Korea
248,126.1806693,34.8865352,154000,AC,KR,전남,South Korea
249,128.6470434,38.04909302,154000,AC,KR,강원,South Korea
250,127.9855286,37.00833836,154000,AC,KR,충북,South Korea
251,129.1346384,35.81082991,154000,AC,KR,경북,South Korea
252,126.1346704,34.74744015,154000,AC,KR,전남,South Korea
253,126.3283829,34.68426016,154000,AC,KR,전남,South Korea
254,126.2716743,34.51947667,154000,AC,KR,전남,South Korea
255,126.2714299,34.707531,154000,AC,KR,전남,South Korea
256,126.3164735,34.7362612,154000,AC,KR,전남,South Korea
257,127.2734436,36.5915902,154000,AC,KR,세종,South Korea
258,128.9851403,37.15214053,154000,AC,KR,강원,South Korea
259,129.3197747,37.1299773,154000,AC,KR,경북,South Korea
260,128.4913988,37.16231429,154000,AC,KR,강원,South Korea
261,128.9219588,35.8633741,154000,AC,KR,경북,South Korea
262,127.8939043,37.36490951,154000,AC,KR,강원,South Korea
263,129.3712093,36.4250441,154000,AC,KR,경북,South Korea
264,129.4402762,36.7077016,154000,AC,KR,경북,South Korea
265,129.0854668,36.53636451,154000,AC,KR,경북,South Korea
266,129.2870396,36.1608152,154000,AC,KR,경북,South Korea
267,126.6169952,36.9548637,154000,AC,KR,충남,South Korea
268,126.6999367,36.8987089,154000,AC,KR,충남,South Korea
269,127.2634929,35.98668352,154000,AC,KR,전북,South Korea
270,127.1363816,35.95176803,154000,AC,KR,전북,South Korea
271,127.4439462,35.9771244,154000,AC,KR,전북,South Korea
272,127.5449942,36.0416225,154000,AC,KR,충남,South Korea
273,127.4929124,37.81494945,154000,AC,KR,경기,South Korea
274,127.613585,36.7226732,154000,AC,KR,충북,South Korea
275,127.6499842,36.81016166,154000,AC,KR,충북,South Korea
276,127.5123552,36.59821572,154000,AC,KR,충북,South Korea
277,126.7093648,35.3983739,154000,AC,KR,전북,South Korea
278,126.7187231,35.45509282,154000,AC,KR,전북,South Korea
279,127.7616853,38.09788652,154000,AC,KR,강원,South Korea
280,127.6390642,38.12991477,154000,AC,KR,강원,South Korea
281,129.0398646,37.0574558,154000,AC,KR,경북,South Korea
282,126.67943,33.5263297,154000,AC,KR,제주,South Korea
283,128.6400032,36.81315486,154000,AC,KR,경북,South Korea
284,128.8566623,36.91238493,154000,AC,KR,경북,South Korea
285,129.3636972,36.9788195,154000,AC,KR,경북,South Korea
286,128.9351875,36.9164434,154000,AC,KR,경북,South Korea
287,126.7307191,35.70235922,154000,AC,KR,전북,South Korea
288,126.848914,35.59210296,154000,AC,KR,전북,South Korea
289,128.6173081,37.1896555,154000,AC,KR,강원,South Korea
290,127.9820953,37.10547788,154000,AC,KR,충북,South Korea
291,128.6720802,36.34121111,154000,AC,KR,경북,South Korea
292,126.6220183,37.50254614,154000,AC,KR,인천,South Korea
293,127.7771813,35.2551999,345000,AC,KR,경남,South Korea
294,129.015327,36.40599072,345000,AC,KR,경북,South Korea
295,128.9237842,36.2794344,345000,AC,KR,경북,South Korea
296,127.7063709,35.9682185,345000,AC,KR,전북,South Korea
297,128.070828,35.05501162,154000,AC,KR,경남,South Korea
298,128.1245669,35.1737659,154000,AC,KR,경남,South Korea
299,126.9491857,37.8335515,345000,AC,KR,경기,South Korea
300,126.9560149,37.90961733,345000,AC,KR,경기,South Korea
301,126.9296115,38.01586334,154000,AC,KR,경기,South Korea
302,126.636537,36.5765332,154000,AC,KR,충남,South Korea
303,126.5923113,36.5218264,154000,AC,KR,충남,South Korea
304,126.6614857,36.62431096,154000,AC,KR,충남,South Korea
305,126.6011501,36.3098443,154000,AC,KR,충남,South Korea
306,128.1764405,38.10310077,154000,AC,KR,강원,South Korea
307,127.8714233,37.67418907,154000,AC,KR,강원,South Korea
308,128.2356566,37.8417852,154000,AC,KR,강원,South Korea
309,128.0104356,38.0605384,154000,AC,KR,강원,South Korea
310,127.8113741,37.9439944,154000,AC,KR,강원,South Korea
311,127.7315804,37.9360259,154000,AC,KR,강원,South Korea
312,127.5606288,37.6867625,345000,AC,KR,강원,South Korea
313,127.8674912,37.7288607,154000,AC,KR,강원,South Korea
314,127.0940717,38.02443261,154000,AC,KR,경기,South Korea
315,127.2724822,37.84437203,154000,AC,KR,경기,South Korea
316,127.0047416,37.1955281,154000,AC,KR,경기,South Korea
317,126.728851,37.2200491,154000,AC,KR,경기,South Korea
318,126.286861,36.74226725,154000,AC,KR,충남,South Korea
319,126.3327272,36.5791384,154000,AC,KR,충남,South Korea
320,126.2903148,36.7892956,154000,AC,KR,충남,South Korea
321,126.5554744,36.7266607,154000,AC,KR,충남,South Korea
322,126.8231662,37.2327017,154000,AC,KR,경기,South Korea
323,126.3968778,37.7089739,154000,AC,KR,인천,South Korea
324,126.5032524,37.67606993,154000,AC,KR,인천,South Korea
325,127.5145166,37.4977121,154000,AC,KR,경기,South Korea
326,127.6161073,37.42802365,154000,AC,KR,경기,South Korea
327,129.230315,36.5944445,154000,AC,KR,경북,South Korea
328,128.8808472,36.5379717,154000,AC,KR,경북,South Korea
329,126.6774741,36.829692,154000,AC,KR,충남,South Korea
330,126.7738576,36.95886496,345000,AC,KR,충남,South Korea
331,126.7212661,36.96735391,345000,AC,KR,충남,South Korea
332,126.3545094,36.99254,154000,AC,KR,충남,South Korea
333,127.512479,36.1136425,154000,AC,KR,충남,South Korea
334,127.6394652,36.00769807,154000,AC,KR,전북,South Korea
335,128.432787,34.8626805,154000,AC,KR,경남,South Korea
336,128.3255456,35.0354563,154000,AC,KR,경남,South Korea
337,128.7897259,35.4501609,154000,AC,KR,경남,South Korea
338,126.779459,36.18841787,154000,AC,KR,충남,South Korea
339,126.9465017,36.29688726,154000,AC,KR,충남,South Korea
340,129.4108453,36.09263338,154000,AC,KR,경북,South Korea
341,129.3047395,36.0849118,154000,AC,KR,경북,South Korea
342,128.1355714,36.13403775,154000,AC,KR,경북,South Korea
343,128.3532679,36.17213397,154000,AC,KR,경북,South Korea
344,128.3110878,36.0543337,154000,AC,KR,경북,South Korea
345,128.2485015,35.66375017,154000,AC,KR,경남,South Korea
346,128.2701945,35.1939278,154000,AC,KR,경남,South Korea
347,128.3421398,35.2973389,154000,AC,KR,경남,South Korea
348,129.2442051,35.91933418,154000,AC,KR,경북,South Korea
349,128.7604852,35.80128161,154000,AC,KR,경북,South Korea
350,128.5444523,36.59523537,345000,AC,KR,경북,South Korea
351,128.6331772,36.6269157,345000,AC,KR,경북,South Korea
352,128.1710654,36.60299944,154000,AC,KR,경북,South Korea
353,128.4342081,36.64898215,154000,AC,KR,경북,South Korea
354,128.1459319,36.68960828,154000,AC,KR,경북,South Korea
355,128.2184637,36.3576113,154000,AC,KR,경북,South Korea
356,128.4848144,36.36916035,154000,AC,KR,경북,South Korea
357,128.580246,36.18525587,154000,AC,KR,대구,South Korea
358,127.2291349,35.32558859,154000,AC,KR,전남,South Korea
359,127.4584812,35.1952061,154000,AC,KR,전남,South Korea
360,127.0187277,35.3538436,154000,AC,KR,전남,South Korea
361,127.0101242,35.5908188,154000,AC,KR,전북,South Korea
362,126.9525662,35.31444015,154000,AC,KR,전남,South Korea
363,126.5113731,35.0060611,154000,AC,KR,전남,South Korea
364,126.5153273,34.9388076,154000,AC,KR,전남,South Korea
365,127.0429622,35.03265389,154000,AC,KR,전남,South Korea
366,128.4354371,37.56007465,154000,AC,KR,강원,South Korea
367,127.8976661,37.5254327,154000,AC,KR,강원,South Korea
368,128.0308763,37.49453959,154000,AC,KR,강원,South Korea
369,127.1158768,35.754495,154000,AC,KR,전북,South Korea
370,127.3026591,35.62564426,154000,AC,KR,전북,South Korea
371,126.7929578,35.47235333,154000,AC,KR,전북,South Korea
372,129.1837016,37.42655136,154000,AC,KR,강원,South Korea
373,129.0321607,37.21854855,154000,AC,KR,강원,South Korea
374,128.7386796,37.34812215,154000,AC,KR,강원,South Korea
375,128.7712616,37.3047173,154000,AC,KR,강원,South Korea
376,128.8394004,37.218712,154000,AC,KR,강원,South Korea
377,128.8807288,37.1464411,154000,AC,KR,강원,South Korea
378,127.0006332,35.95635953,154000,AC,KR,전북,South Korea
379,128.3324292,36.99631796,154000,AC,KR,충북,South Korea
380,128.3299148,36.9405776,154000,AC,KR,충북,South Korea
381,127.5801274,36.98030482,154000,AC,KR,충북,South Korea
382,127.9214859,36.99989439,154000,AC,KR,충북,South Korea
383,127.4544911,36.65902528,154000,AC,KR,충북,South Korea
384,127.7276945,36.4280484,154000,AC,KR,충북,South Korea
385,127.8334486,36.2540849,154000,AC,KR,충북,South Korea
386,127.386311,37.0746066,154000,AC,KR,경기,South Korea
387,128.278242,37.0849121,154000,AC,KR,충북,South Korea
388,127.9670066,36.8488287,154000,AC,KR,충북,South Korea
389,127.6526758,36.248102,154000,AC,KR,충북,South Korea
390,126.9265275,35.80980062,154000,AC,KR,전북,South Korea
391,126.5121631,34.7402017,154000,AC,KR,전남,South Korea
392,127.8111809,37.0839064,154000,AC,KR,충북,South Korea
393,127.5919337,37.2456333,154000,AC,KR,경기,South Korea
394,126.8210649,36.8642874,345000,AC,KR,충남,South Korea
395,127.6782024,37.836041,154000,AC,KR,강원,South Korea
396,129.3819178,36.86416527,154000,AC,KR,경북,South Korea
397,126.4996478,36.1490556,154000,AC,KR,충남,South Korea
398,129.0199792,37.59573164,154000,AC,KR,강원,South Korea
399,126.9787601,36.2321453,154000,AC,KR,충남,South Korea
400,126.8839673,35.8402316,154000,AC,KR,전북,South Korea
401,127.9114902,35.3990073,154000,AC,KR,경남,South Korea
402,127.9615271,35.4257245,154000,AC,KR,경남,South Korea
403,128.0682948,35.54610252,154000,AC,KR,경남,South Korea
404,127.7740584,34.8905955,345000,AC,KR,전남,South Korea
405,126.8364497,35.2296237,154000,AC,KR,전남,South Korea
406,128.0280751,36.1269002,154000,AC,KR,경북,South Korea
407,129.1783391,35.3263729,154000,AC,KR,부산,South Korea
408,128.9457934,35.90641588,154000,AC,KR,경북,South Korea
409,128.3211225,37.20811415,154000,AC,KR,충북,South Korea
410,129.3456003,36.1549248,154000,AC,KR,경북,South Korea
411,127.6498575,37.97564726,154000,AC,KR,강원,South Korea
412,127.7734074,37.7645532,154000,AC,KR,강원,South Korea
413,126.6687196,35.18037789,154000,AC,KR,광주,South Korea
414,128.1192394,36.31224237,154000,AC,KR,경북,South Korea
415,128.8314509,37.3160343,15000,AC,KR,강원,South Korea
416,126.4966759,34.8912343,154000,AC,KR,전남,South Korea
417,126.1875888,34.38575345,250000,AC,KR,전남,South Korea
