name,bus0,bus1,marginal_cost
318,40,40,0.1
319,63,131,0.1
320,111,111,0.1
321,124,124,0.1
322,124,124,0.1
323,40,40,0.1
324,124,124,0.1
325,124,124,0.1
326,124,124,0.1
327,40,40,0.1
328,40,40,0.1
329,111,111,0.1
330,63,63,0.1
331,124,124,0.1
332,40,40,0.1
333,124,124,0.1
334,124,124,0.1
335,230,124,0.1
336,124,124,0.1
337,119,132,0.1
338,43,43,0.1
339,43,43,0.1
340,43,43,0.1
341,43,43,0.1
342,43,43,0.1
343,43,43,0.1
344,43,43,0.1
345,43,43,0.1
346,43,43,0.1
347,43,43,0.1
348,43,133,0.1
349,134,134,0.1
350,134,134,0.1
351,119,119,0.1
352,119,119,0.1
353,119,119,0.1
354,43,43,0.1
355,134,134,0.1
356,134,134,0.1
357,119,119,0.1
358,43,43,0.1
359,134,77,0.1
360,130,134,0.1
361,134,134,0.1
362,135,135,0.1
363,136,136,0.1
364,134,134,0.1
365,136,136,0.1
366,136,136,0.1
367,136,136,0.1
368,134,134,0.1
369,134,134,0.1
370,134,134,0.1
371,136,136,0.1
372,53,53,0.1
373,134,134,0.1
374,134,134,0.1
375,134,134,0.1
376,53,53,0.1
377,134,134,0.1
378,134,132,0.1
379,137,243,0.1
380,138,139,0.1
381,8,135,0.1
382,140,141,0.1
383,132,142,0.1
384,132,143,0.1
385,135,140,0.1
386,53,144,0.1
387,124,124,0.1
388,124,124,0.1
389,111,145,0.1
390,124,124,0.1
391,124,124,0.1
392,124,124,0.1
393,124,124,0.1
394,124,124,0.1
395,111,111,0.1
396,128,128,0.1
397,124,124,0.1
398,124,124,0.1
399,124,124,0.1
400,124,124,0.1
401,124,124,0.1
402,124,124,0.1
403,124,124,0.1
404,146,147,0.1
405,134,134,0.1
406,134,134,0.1
407,134,134,0.1
408,134,134,0.1
409,134,134,0.1
410,134,148,0.1
411,124,124,0.1
412,134,134,0.1
413,134,132,0.1
414,128,149,0.1
415,150,111,0.1
416,124,124,0.1
417,151,111,0.1
418,124,124,0.1
419,152,316,0.1
420,152,152,0.1
421,64,178,0.1
422,152,316,0.1
423,152,152,0.1
424,316,152,0.1
425,152,152,0.1
426,64,64,0.1
427,152,152,0.1
428,316,316,0.1
429,152,152,0.1
430,316,316,0.1
431,316,316,0.1
432,64,64,0.1
433,316,316,0.1
434,64,64,0.1
435,178,178,0.1
436,64,64,0.1
437,64,64,0.1
438,152,152,0.1
439,178,178,0.1
440,64,64,0.1
441,64,64,0.1
442,64,64,0.1
443,64,64,0.1
444,64,64,0.1
445,152,152,0.1
446,64,64,0.1
447,152,152,0.1
448,152,152,0.1
449,153,178,0.1
450,64,64,0.1
451,322,64,0.1
452,38,38,0.1
453,316,316,0.1
454,316,316,0.1
455,27,27,0.1
456,79,79,0.1
457,27,27,0.1
458,27,27,0.1
459,27,27,0.1
460,27,27,0.1
461,79,79,0.1
462,5,27,0.1
463,38,38,0.1
464,38,38,0.1
465,38,38,0.1
466,38,38,0.1
467,38,38,0.1
468,38,38,0.1
469,38,38,0.1
470,38,38,0.1
471,316,316,0.1
472,38,38,0.1
473,38,38,0.1
474,65,154,0.1
475,10,10,0.1
476,116,116,0.1
477,15,15,0.1
478,15,15,0.1
479,15,15,0.1
480,116,116,0.1
481,116,116,0.1
482,116,116,0.1
483,116,116,0.1
484,15,15,0.1
485,116,116,0.1
486,116,116,0.1
487,116,116,0.1
488,116,116,0.1
489,116,116,0.1
490,10,10,0.1
491,155,116,0.1
492,116,156,0.1
493,116,116,0.1
494,116,116,0.1
495,116,116,0.1
496,116,116,0.1
497,10,10,0.1
498,116,116,0.1
499,116,154,0.1
500,4,4,0.1
501,157,158,0.1
502,18,18,0.1
503,12,159,0.1
504,12,12,0.1
505,12,12,0.1
506,152,152,0.1
507,152,68,0.1
508,316,316,0.1
509,152,152,0.1
510,68,68,0.1
511,167,68,0.1
512,167,68,0.1
513,152,152,0.1
514,234,234,0.1
515,234,1,0.1
516,165,165,0.1
517,160,165,0.1
518,160,165,0.1
519,74,161,0.1
520,74,49,0.1
521,74,74,0.1
522,74,74,0.1
523,74,74,0.1
524,74,74,0.1
525,74,74,0.1
526,74,74,0.1
527,27,27,0.1
528,162,103,0.1
529,101,101,0.1
530,27,27,0.1
531,27,27,0.1
532,11,11,0.1
533,11,11,0.1
534,27,27,0.1
535,27,27,0.1
536,65,65,0.1
537,27,27,0.1
538,27,27,0.1
539,11,11,0.1
540,27,27,0.1
541,11,11,0.1
542,65,65,0.1
543,27,27,0.1
544,27,27,0.1
545,101,103,0.1
546,27,11,0.1
547,101,163,0.1
548,65,65,0.1
549,164,164,0.1
550,68,165,0.1
551,165,165,0.1
552,30,30,0.1
553,165,164,0.1
554,165,165,0.1
555,165,165,0.1
556,164,164,0.1
557,166,167,0.1
558,1,1,0.1
559,1,1,0.1
560,1,1,0.1
561,1,1,0.1
562,1,1,0.1
563,1,1,0.1
564,168,1,0.1
565,92,92,0.1
566,36,36,0.1
567,114,2,0.1
568,120,120,0.1
569,120,120,0.1
570,29,29,0.1
571,120,120,0.1
572,120,120,0.1
573,29,29,0.1
574,32,32,0.1
575,32,32,0.1
576,2,2,0.1
577,169,92,0.1
578,2,114,0.1
579,29,170,0.1
580,77,120,0.1
581,32,32,0.1
582,161,161,0.1
583,161,171,0.1
584,171,171,0.1
585,172,171,0.1
586,234,234,0.1
587,167,167,0.1
588,167,167,0.1
589,68,68,0.1
590,167,167,0.1
591,174,174,0.1
592,173,174,0.1
593,174,175,0.1
594,175,161,0.1
595,68,174,0.1
596,171,171,0.1
597,160,23,0.1
598,23,160,0.1
599,23,23,0.1
600,171,171,0.1
601,165,165,0.1
602,171,171,0.1
603,23,23,0.1
604,55,55,0.1
605,165,165,0.1
606,164,164,0.1
607,171,171,0.1
608,176,177,0.1
609,23,23,0.1
610,55,55,0.1
611,164,164,0.1
612,23,23,0.1
613,171,171,0.1
614,171,171,0.1
615,171,171,0.1
616,152,152,0.1
617,1,1,0.1
618,1,1,0.1
619,160,160,0.1
620,165,165,0.1
621,171,177,0.1
622,160,23,0.1
623,160,23,0.1
624,160,160,0.1
625,23,23,0.1
626,160,160,0.1
627,178,178,0.1
628,178,178,0.1
629,178,178,0.1
630,178,178,0.1
631,64,179,0.1
632,64,64,0.1
633,178,178,0.1
634,4,4,0.1
635,4,50,0.1
636,180,180,0.1
637,181,182,0.1
638,183,183,0.1
639,183,183,0.1
640,183,183,0.1
641,183,183,0.1
642,184,184,0.1
643,184,184,0.1
644,183,183,0.1
645,184,184,0.1
646,183,183,0.1
647,183,183,0.1
648,183,183,0.1
649,183,183,0.1
650,183,183,0.1
651,183,183,0.1
652,184,184,0.1
653,183,183,0.1
654,183,97,0.1
655,183,183,0.1
656,123,181,0.1
657,3,183,0.1
658,181,184,0.1
659,180,183,0.1
660,123,185,0.1
661,97,94,0.1
662,94,94,0.1
663,184,180,0.1
664,183,183,0.1
665,3,94,0.1
666,30,30,0.1
667,30,30,0.1
668,30,30,0.1
669,30,30,0.1
670,30,30,0.1
671,186,30,0.1
672,30,30,0.1
673,166,166,0.1
674,166,166,0.1
675,30,30,0.1
676,30,187,0.1
677,186,412,0.1
678,189,30,0.1
679,68,68,0.1
680,174,174,0.1
681,68,68,0.1
682,68,68,0.1
683,174,174,0.1
684,174,174,0.1
685,68,68,0.1
686,68,68,0.1
687,174,174,0.1
688,68,68,0.1
689,174,174,0.1
690,234,234,0.1
691,174,174,0.1
692,234,234,0.1
693,234,234,0.1
694,174,174,0.1
695,174,174,0.1
696,68,68,0.1
697,234,234,0.1
698,292,64,0.1
699,190,190,0.1
700,190,190,0.1
701,62,190,0.1
702,63,109,0.1
703,63,63,0.1
704,63,63,0.1
705,40,40,0.1
706,80,191,0.1
707,40,40,0.1
708,40,40,0.1
709,80,104,0.1
710,40,40,0.1
711,80,80,0.1
712,80,80,0.1
713,80,80,0.1
714,80,80,0.1
715,40,40,0.1
716,133,133,0.1
717,80,80,0.1
718,133,143,0.1
719,2,2,0.1
720,2,2,0.1
721,2,2,0.1
722,2,2,0.1
723,165,165,0.1
724,165,165,0.1
725,2,2,0.1
726,165,165,0.1
727,165,165,0.1
728,165,165,0.1
729,165,165,0.1
730,165,165,0.1
731,165,165,0.1
732,165,165,0.1
733,165,165,0.1
734,165,165,0.1
735,165,165,0.1
736,165,165,0.1
737,165,165,0.1
738,165,165,0.1
739,165,165,0.1
740,192,2,0.1
741,2,2,0.1
742,2,2,0.1
743,2,2,0.1
744,2,2,0.1
745,2,2,0.1
746,2,2,0.1
747,2,2,0.1
748,2,2,0.1
749,2,2,0.1
750,2,2,0.1
751,2,2,0.1
752,2,2,0.1
753,2,2,0.1
754,2,2,0.1
755,2,2,0.1
756,38,38,0.1
757,38,38,0.1
758,38,38,0.1
759,38,38,0.1
760,38,38,0.1
761,38,38,0.1
762,39,38,0.1
763,38,38,0.1
764,107,107,0.1
765,38,38,0.1
766,38,38,0.1
767,38,38,0.1
768,38,38,0.1
769,38,38,0.1
770,172,171,0.1
771,172,172,0.1
772,193,194,0.1
773,193,193,0.1
774,193,172,0.1
775,7,28,0.1
776,195,316,0.1
777,7,19,0.1
778,7,195,0.1
779,195,153,0.1
780,152,21,0.1
781,64,64,0.1
782,67,67,0.1
783,178,178,0.1
784,67,67,0.1
785,178,178,0.1
786,67,67,0.1
787,178,178,0.1
788,178,178,0.1
789,178,178,0.1
790,67,67,0.1
791,178,178,0.1
792,67,67,0.1
793,67,67,0.1
794,178,178,0.1
795,67,67,0.1
796,178,178,0.1
797,316,7,0.1
798,5,67,0.1
799,5,5,0.1
800,152,152,0.1
801,64,64,0.1
802,64,64,0.1
803,53,104,0.1
804,257,257,0.1
805,257,257,0.1
806,257,257,0.1
807,257,257,0.1
808,257,257,0.1
809,4,156,0.1
810,4,4,0.1
811,61,61,0.1
812,61,61,0.1
813,61,61,0.1
814,61,61,0.1
815,61,61,0.1
816,61,61,0.1
817,61,196,0.1
818,61,61,0.1
819,92,92,0.1
820,113,113,0.1
821,131,131,0.1
822,93,93,0.1
823,131,131,0.1
824,92,92,0.1
825,93,93,0.1
826,40,40,0.1
827,93,93,0.1
828,131,131,0.1
829,40,40,0.1
830,93,93,0.1
831,105,106,0.1
832,106,92,0.1
833,93,105,0.1
834,92,92,0.1
835,105,93,0.1
836,113,197,0.1
837,93,93,0.1
838,105,105,0.1
839,32,32,0.1
840,32,198,0.1
841,109,108,0.1
842,36,36,0.1
843,108,36,0.1
844,109,109,0.1
845,36,36,0.1
846,199,199,0.1
847,199,199,0.1
848,199,199,0.1
849,199,199,0.1
850,199,199,0.1
851,199,199,0.1
852,199,199,0.1
