name,name.1,x,y,v_nom,carrier,country,province
0,bus_0,128.9622473,37.25607877,765000,AC,KR,강원
1,bus_1,127.5048156,37.61896221,765000,AC,KR,경기
2,bus_2,128.4285239,35.93172515,345000,AC,KR,경남
3,bus_3,128.6343911,35.82569015,154000,AC,KR,대구
4,bus_4,127.3740706,36.45952757,345000,AC,KR,대전
5,bus_5,127.3391025,36.95011137,345000,AC,KR,충북
6,bus_6,127.2450868,37.02215175,154000,AC,KR,경기
7,bus_7,127.0498448,37.02921321,345000,AC,KR,경기
8,bus_8,126.7877532,36.46655162,345000,AC,KR,충남
9,bus_9,127.0080941,36.86978618,345000,AC,KR,충남
10,bus_10,127.5313825,36.29438343,345000,AC,KR,충북
11,bus_11,127.3523365,36.75668478,765000,AC,KR,충북
12,bus_12,126.6426613,36.76949321,765000,AC,KR,충남
13,bus_13,128.5612378,38.18455262,154000,AC,KR,강원
14,bus_14,128.5758274,38.0923665,154000,AC,KR,강원
15,bus_15,126.9237956,36.78947471,345000,AC,KR,충남
16,bus_16,126.4913837,36.39755177,345000,AC,KR,충남
17,bus_17,126.8262443,36.73296545,154000,AC,KR,충남
18,bus_18,127.0448277,36.76205271,154000,AC,KR,충남
19,bus_19,127.0957188,36.91392583,154000,AC,KR,충남
20,bus_20,126.8774019,36.83920953,154000,AC,KR,충남
21,bus_21,127.2303165,37.10806706,765000,AC,KR,경기
22,bus_22,126.6858226,37.9052454,154000,AC,KR,경기
23,bus_23,126.7850006,37.81579811,345000,AC,KR,경기
24,bus_24,127.2168945,36.7027039,154000,AC,KR,세종
25,bus_25,127.1246128,36.77550668,154000,AC,KR,충남
26,bus_26,127.2120189,36.8857259,154000,AC,KR,충남
27,bus_27,127.3859999,36.82171765,345000,AC,KR,충북
28,bus_28,126.8259946,37.00387842,345000,AC,KR,경기
29,bus_29,127.2739737,38.05012531,154000,AC,KR,경기
30,bus_30,127.1593329,37.94893559,345000,AC,KR,경기
31,bus_31,127.2220238,37.91678217,154000,AC,KR,경기
32,bus_32,129.3957555,35.94840142,345000,AC,KR,경기
33,bus_33,129.4680447,35.71866052,345000,AC,KR,경북
34,bus_34,129.3331318,36.04640509,345000,AC,KR,경북
35,bus_35,129.352769,35.72699741,345000,AC,KR,경북
36,bus_36,129.216508,35.67582249,345000,AC,KR,울산
37,bus_37,129.2883131,35.70542257,345000,AC,KR,경북
38,bus_38,129.3401558,35.48313632,345000,AC,KR,울산
39,bus_39,129.3777091,35.63836781,345000,AC,KR,울산
40,bus_40,129.1620915,35.23123398,345000,AC,KR,부산
41,bus_41,129.2939075,35.32577917,765000,AC,KR,부산
42,bus_42,126.4178661,35.40815812,380000,AC,KR,전남
43,bus_43,126.9209952,35.20589104,345000,AC,KR,광주
44,bus_44,127.3325801,35.4834099,345000,AC,KR,전북
45,bus_45,126.4819983,35.3759684,154000,AC,KR,전남
46,bus_46,126.4801702,35.28201107,154000,AC,KR,전남
47,bus_47,129.3814259,37.08995407,765000,AC,KR,경북
48,bus_48,129.3352197,37.18706443,345000,AC,KR,강원
49,bus_49,128.7340273,36.8161237,345000,AC,KR,경북
50,bus_50,127.3074737,36.36284598,154000,AC,KR,대전
51,bus_51,127.3664575,36.32500715,154000,AC,KR,대전
52,bus_52,126.5840833,36.38145554,154000,AC,KR,충남
53,bus_53,126.8806301,35.96312907,345000,AC,KR,전북
54,bus_54,127.5010533,36.2361213,154000,AC,KR,충남
55,bus_55,128.5440247,38.01584666,345000,AC,KR,강원
56,bus_56,128.9216052,37.6469428,345000,AC,KR,강원
57,bus_57,126.5178708,37.0502623,765000,AC,KR,충남
58,bus_58,126.4424626,37.24425517,345000,AC,KR,인천
59,bus_59,126.5663039,37.27480145,345000,AC,KR,경기
60,bus_60,128.5161407,38.2069454,154000,AC,KR,강원
61,bus_61,128.4490594,38.3853717,154000,AC,KR,강원
62,bus_62,129.0256401,35.2371258,345000,AC,KR,부산
63,bus_63,129.0139287,35.32923721,154000,AC,KR,경남
64,bus_64,126.7641443,37.35176688,345000,AC,KR,경기
65,bus_65,127.4044199,36.69750914,154000,AC,KR,충북
66,bus_66,127.2710484,36.9737198,154000,AC,KR,경기
67,bus_67,127.4410657,36.88284009,154000,AC,KR,충북
68,bus_68,127.0095354,37.48653367,345000,AC,KR,서울
69,bus_69,128.835037,37.7915579,154000,AC,KR,강원
70,bus_70,128.7918762,37.88175002,154000,AC,KR,강원
71,bus_71,127.4284624,36.98614409,154000,AC,KR,충북
72,bus_72,126.420097,36.98125392,154000,AC,KR,충남
73,bus_73,129.2384181,36.0819143,345000,AC,KR,경북
74,bus_74,128.5684224,36.77517452,345000,AC,KR,경북
75,bus_75,128.697132,34.8669125,154000,AC,KR,경남
76,bus_76,128.6089764,34.88234032,154000,AC,KR,경남
77,bus_77,126.7016908,34.72862454,345000,AC,KR,전남
78,bus_78,126.6155115,34.41325536,154000,AC,KR,전남
79,bus_79,129.176299,35.40645748,345000,AC,KR,경남
80,bus_80,127.0154956,35.75176343,345000,AC,KR,전북
81,bus_81,126.6536951,33.3666641,154000,AC,KR,제주
82,bus_82,126.7648172,33.3683859,154000,AC,KR,제주
83,bus_83,126.8553701,33.4432819,154000,AC,KR,제주
84,bus_84,126.6926656,33.4775535,154000,AC,KR,제주
85,bus_85,126.6045751,33.5227998,180000,AC,KR,제주
86,bus_86,126.6394511,33.28318421,154000,AC,KR,제주
87,bus_87,126.3621505,33.30546496,154000,AC,KR,제주
88,bus_88,126.5113613,33.27817941,154000,AC,KR,제주
89,bus_89,126.4851012,33.46932952,250000,AC,KR,제주
90,bus_90,126.5556866,33.50234994,154000,AC,KR,제주
91,bus_91,126.2733861,33.40124111,154000,AC,KR,제주
92,bus_92,128.8093204,35.87984781,345000,AC,KR,경북
93,bus_93,128.6910084,35.73491978,345000,AC,KR,경북
94,bus_94,128.3792269,35.78851905,154000,AC,KR,경북
95,bus_95,128.4851945,36.0292395,345000,AC,KR,경북
96,bus_96,128.2974445,35.9314027,154000,AC,KR,경북
97,bus_97,128.4029564,35.73401477,345000,AC,KR,경북
98,bus_98,127.7879573,36.141483,345000,AC,KR,충북
99,bus_99,128.2974708,35.8228977,345000,AC,KR,경북
100,bus_100,127.3204672,36.2812132,154000,AC,KR,대전
101,bus_101,127.2604107,36.2328014,345000,AC,KR,충남
102,bus_102,128.3584357,35.9526338,345000,AC,KR,경북
103,bus_103,127.1100953,36.177622,154000,AC,KR,충남
104,bus_104,127.0514552,35.83370326,345000,AC,KR,전북
105,bus_105,128.8289447,35.75199509,345000,AC,KR,경북
106,bus_106,128.9078249,35.8099031,345000,AC,KR,경북
107,bus_107,129.2788148,35.5566239,154000,AC,KR,울산
108,bus_108,129.1533427,35.56843934,345000,AC,KR,울산
109,bus_109,129.1011022,35.51025218,154000,AC,KR,울산
110,bus_110,128.9631142,35.98977898,154000,AC,KR,경북
111,bus_111,128.1254398,35.34237258,345000,AC,KR,경남
112,bus_112,128.6093302,35.7282565,345000,AC,KR,경북
113,bus_113,128.6724312,35.6356817,154000,AC,KR,경북
114,bus_114,128.5548827,35.95493774,345000,AC,KR,경북
115,bus_115,128.0972046,36.0803197,154000,AC,KR,경북
116,bus_116,127.4613223,36.55334729,345000,AC,KR,충북
117,bus_117,129.035335,35.8921378,154000,AC,KR,경북
118,bus_118,128.1646862,35.58203928,154000,AC,KR,경남
119,bus_119,127.4680539,35.45080075,345000,AC,KR,전북
120,bus_120,126.9328438,34.9642218,345000,AC,KR,전남
121,bus_121,127.4539328,35.7805615,154000,AC,KR,전북
122,bus_122,127.5175232,35.6747939,154000,AC,KR,전북
123,bus_123,128.5177605,35.27745509,345000,AC,KR,경남
124,bus_124,128.7908098,35.21519295,345000,AC,KR,경남
125,bus_125,128.6903702,35.4140512,154000,AC,KR,경남
