name,bus,type,build_year,p_nom,carrier,address
강릉안인#1,KR,기력,2022.1,1040,유연탄,강원 강릉시 강동면
강릉안인#2,KR,기력,2022.1,1040,유연탄,강원 강릉시 강동면
남제주#1,KR,신재생,2006.9,100,바이오중유,제주 서귀포시 안덕면
남제주#2,KR,신재생,2007.3,100,바이오중유,제주 서귀포시 안덕면
당진#1,KR,기력,1999.6,500,유연탄,충남 당진시 석문면
당진#10,KR,기력,2016.9,1020,유연탄,충남 당진시 석문면
당진#2,KR,기력,1999.12,500,유연탄,충남 당진시 석문면
당진#3,KR,기력,2000.9,500,유연탄,충남 당진시 석문면
당진#4,KR,기력,2001.3,500,유연탄,충남 당진시 석문면
당진#5,KR,기력,2005.9,500,유연탄,충남 당진시 석문면
당진#6,KR,기력,2006.3,500,유연탄,충남 당진시 석문면
당진#7,KR,기력,2007.6,500,유연탄,충남 당진시 석문면
당진#8,KR,기력,2007.12,500,유연탄,충남 당진시 석문면
당진#9,KR,기력,2016.7,1020,유연탄,충남 당진시 석문면
동해#1,KR,기력,1998.9,200,무연탄,강원 동해시 구호동
동해#2,KR,기력,1999.9,200,무연탄,강원 동해시 구호동
보령#1,KR,기력,1983.12,500,유연탄,충남 보령군 오천면 오포
보령#2,KR,기력,1984.9,500,유연탄,충남 보령군 오천면 오포
보령#3,KR,기력,1993.4,500,유연탄,충남 보령군 오천면 오포
보령#4,KR,기력,1993.6,500,유연탄,충남 보령군 오천면 오포
보령#5,KR,기력,1993.12,500,유연탄,충남 보령군 오천면 오포
보령#6,KR,기력,1994.4,500,유연탄,충남 보령군 오천면 오포
보령#7,KR,기력,2008.6,500,유연탄,충남 보령군 오천면 오포
보령#8,KR,기력,2008.12,500,유연탄,충남 보령군 오천면 오포
북평#1,KR,기력,2017.3,595,유연탄,강원 동해시 공단4로
북평#2,KR,기력,2017.8,595,유연탄,강원 동해시 공단4로
삼척그린파워 #1,KR,기력,2016.12,1022,유연탄,강원 삼척시 원덕읍
삼척그린파워 #2,KR,기력,2017.6,1022,유연탄,강원 삼척시 원덕읍
삼천포#1,KR,기력,1983.8,560,유연탄,경남 고성군 하이면 덕호리
삼천포#2,KR,기력,1984.2,560,유연탄,경남 고성군 하이면 덕호리
삼천포#3,KR,기력,1993.4,560,유연탄,경남 고성군 하이면 덕호리
삼천포#4,KR,기력,1994.3,560,유연탄,경남 고성군 하이면 덕호리
삼천포#5,KR,기력,1997.7,500,유연탄,경남 고성군 하이면 덕호리
삼천포#6,KR,기력,1998.1,500,유연탄,경남 고성군 하이면 덕호리
신보령#1,KR,기력,2017.6,1019.029,유연탄,충남 보령시 오천면
신보령#2,KR,기력,2017.9,1019.029,유연탄,충남 보령시 오천면
여수#1,KR,기력,2016.8,340,유연탄,전남 여수시 증흥동
여수#2,KR,기력,1977.7,328.6,유연탄,전남 여수시 증흥동
영동#2,KR,신재생,1979.1,200,바이오중유,강원 강릉시 강동면
영흥#1,KR,기력,2004.7,800,유연탄,인천 옹진군 영흥면
영흥#2,KR,기력,2004.11,800,유연탄,인천 옹진군 영흥면
영흥#3,KR,기력,2008.6,870,유연탄,인천 옹진군 영흥면
