name,bus,type,build_year,p_nom,carrier,address,region,capital_cost,ramp_limit_start_up,ramp_limit_shut_down,min_up_time,min_down_time,p_min_pu,company,membership,market,control
강릉안인#1,KR,기력,2022,1040,bituminous,강원 강릉시 강동면,강원특별자치도,,0.05,0.05,5,5,0.4,강릉에코파워(주),정회원,시장,중앙
강릉안인#2,KR,기력,2022,1040,bituminous,강원 강릉시 강동면,강원특별자치도,,0.05,0.05,5,5,0.4,강릉에코파워(주),정회원,시장,중앙
남제주#1,KR,신재생,2006,100,bio,제주 서귀포시 안덕면,제주특별자치도,,0.2,0.2,1,1,0.4,남부발전㈜,정회원,시장,중앙
남제주#2,KR,신재생,2007,100,bio,제주 서귀포시 안덕면,제주특별자치도,,0.2,0.2,1,1,0.4,남부발전㈜,정회원,시장,중앙
당진#1,KR,기력,1999,500,bituminous,충남 당진시 석문면,충청남도,1646894000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#10,KR,기력,2016,1020,bituminous,충남 당진시 석문면,충청남도,1479050000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#2,KR,기력,1999,500,bituminous,충남 당진시 석문면,충청남도,1646894000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#3,KR,기력,2000,500,bituminous,충남 당진시 석문면,충청남도,1139396000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#4,KR,기력,2001,500,bituminous,충남 당진시 석문면,충청남도,1139396000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#5,KR,기력,2005,500,bituminous,충남 당진시 석문면,충청남도,940867000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#6,KR,기력,2006,500,bituminous,충남 당진시 석문면,충청남도,940867000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#7,KR,기력,2007,500,bituminous,충남 당진시 석문면,충청남도,836200000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#8,KR,기력,2007,500,bituminous,충남 당진시 석문면,충청남도,836200000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
당진#9,KR,기력,2016,1020,bituminous,충남 당진시 석문면,충청남도,1479050000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
동해#1,KR,기력,1998,200,anthracite,강원 동해시 구호동,강원특별자치도,1409448000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
동해#2,KR,기력,1999,200,anthracite,강원 동해시 구호동,강원특별자치도,1409448000,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
보령#1,KR,기력,1983,500,bituminous,충남 보령군 오천면 오포,충청남도,,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#2,KR,기력,1984,500,bituminous,충남 보령군 오천면 오포,충청남도,,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#3,KR,기력,1993,500,bituminous,충남 보령군 오천면 오포,충청남도,764584000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#4,KR,기력,1993,500,bituminous,충남 보령군 오천면 오포,충청남도,764584000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#5,KR,기력,1993,500,bituminous,충남 보령군 오천면 오포,충청남도,690824000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#6,KR,기력,1994,500,bituminous,충남 보령군 오천면 오포,충청남도,690824000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#7,KR,기력,2008,500,bituminous,충남 보령군 오천면 오포,충청남도,1265000000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
보령#8,KR,기력,2008,500,bituminous,충남 보령군 오천면 오포,충청남도,1265000000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
