name,bus,type,build_year,p_nom,carrier,address,region,capital_cost,ramp_limit_start_up,ramp_limit_shut_down,min_up_time,min_down_time,p_min_pu,company,membership,market,control
북평#1,KR,기력,2017,595,bituminous,강원 동해시 공단4로,강원특별자치도,,0.05,0.05,5,5,0.4,㈜GS 동해전력,정회원,시장,중앙
북평#2,KR,기력,2017,595,bituminous,강원 동해시 공단4로,강원특별자치도,,0.05,0.05,5,5,0.4,㈜GS 동해전력,정회원,시장,중앙
삼척그린파워 #1,KR,기력,2016,1022,bituminous,강원 삼척시 원덕읍,강원특별자치도,1951115000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
삼척그린파워 #2,KR,기력,2017,1022,bituminous,강원 삼척시 원덕읍,강원특별자치도,1951115000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
삼천포#1,KR,기력,1983,560,bituminous,경남 고성군 하이면 덕호리,경상남도,,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
삼천포#2,KR,기력,1984,560,bituminous,경남 고성군 하이면 덕호리,경상남도,,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
삼천포#3,KR,기력,1993,560,bituminous,경남 고성군 하이면 덕호리,경상남도,629660000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
삼천포#4,KR,기력,1994,560,bituminous,경남 고성군 하이면 덕호리,경상남도,629660000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
삼천포#5,KR,기력,1997,500,bituminous,경남 고성군 하이면 덕호리,경상남도,818230000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
삼천포#6,KR,기력,1998,500,bituminous,경남 고성군 하이면 덕호리,경상남도,818230000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
신보령#1,KR,기력,2017,1019.029,bituminous,충남 보령시 오천면,충청남도,1462552000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
신보령#2,KR,기력,2017,1019.029,bituminous,충남 보령시 오천면,충청남도,1462552000,0.05,0.05,5,5,0.4,중부발전㈜,정회원,시장,중앙
여수#1,KR,기력,2016,340,bituminous,전남 여수시 증흥동,전라남도,,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
여수#2,KR,기력,1977,328.6,bituminous,전남 여수시 증흥동,전라남도,83681000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영동#2,KR,신재생,1979,200,bio,강원 강릉시 강동면,강원특별자치도,313228000,0.2,0.2,1,1,0.4,남동발전㈜,정회원,시장,중앙
영흥#1,KR,기력,2004,800,bituminous,인천 옹진군 영흥면,인천광역시,1124124000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영흥#2,KR,기력,2004,800,bituminous,인천 옹진군 영흥면,인천광역시,1124124000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영흥#3,KR,기력,2008,870,bituminous,인천 옹진군 영흥면,인천광역시,895196000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영흥#4,KR,기력,2008,870,bituminous,인천 옹진군 영흥면,인천광역시,895196000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영흥#5,KR,기력,2014,870,bituminous,인천 옹진군 영흥면,인천광역시,1443441000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
영흥#6,KR,기력,2014,870,bituminous,인천 옹진군 영흥면,인천광역시,1443441000,0.05,0.05,5,5,0.4,남동발전㈜,정회원,시장,중앙
울산#4,KR,기력,1980,400,heavy oil,울산 남구 남화동,울산광역시,,0.2,0.2,1,1,0.4,동서발전㈜,정회원,시장,중앙
울산#5,KR,기력,1980,400,heavy oil,울산 남구 남화동,울산광역시,,0.2,0.2,1,1,0.4,동서발전㈜,정회원,시장,중앙
울산#6,KR,기력,1981,400,heavy oil,울산 남구 남화동,울산광역시,,0.2,0.2,1,1,0.4,동서발전㈜,정회원,시장,중앙
제주#2,KR,신재생,2000,75,bio,제주 제주시 삼양동,제주특별자치도,1469000000,0.2,0.2,1,1,0.4,중부발전㈜,정회원,시장,중앙
제주#3,KR,신재생,2000,75,bio,제주 제주시 삼양동,제주특별자치도,1469000000,0.2,0.2,1,1,0.4,중부발전㈜,정회원,시장,중앙
태안#1,KR,기력,1995,500,bituminous,충남 태안군 원북면 방갈리,충청남도,1175477000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#10,KR,기력,2017,1050,bituminous,충남 태안군 원북면 방갈리,충청남도,1392652000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#2,KR,기력,1995,500,bituminous,충남 태안군 원북면 방갈리,충청남도,1175477000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#3,KR,기력,1997,500,bituminous,충남 태안군 원북면 방갈리,충청남도,693424000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#4,KR,기력,1997,500,bituminous,충남 태안군 원북면 방갈리,충청남도,693424000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#5,KR,기력,2001,500,bituminous,충남 태안군 원북면 방갈리,충청남도,820900000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#6,KR,기력,2002,500,bituminous,충남 태안군 원북면 방갈리,충청남도,820900000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#7,KR,기력,2007,500,bituminous,충남 태안군 원북면 방갈리,충청남도,905729000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#8,KR,기력,2007,500,bituminous,충남 태안군 원북면 방갈리,충청남도,905729000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
태안#9,KR,기력,2016,1050,bituminous,충남 태안군 원북면 방갈리,충청남도,1392652000,0.05,0.05,5,5,0.4,서부발전㈜,정회원,시장,중앙
평택#1,KR,기력,1980,350,LNG,경기 평택시 포승면,경기도,185747000,0.2,0.2,1,1,0.4,서부발전㈜,정회원,시장,중앙
평택#2,KR,기력,1980,350,LNG,경기 평택시 포승면,경기도,185747000,0.2,0.2,1,1,0.4,서부발전㈜,정회원,시장,중앙
평택#3,KR,기력,1983,350,LNG,경기 평택시 포승면,경기도,244659000,0.2,0.2,1,1,0.4,서부발전㈜,정회원,시장,중앙
평택#4,KR,기력,1983,350,LNG,경기 평택시 포승면,경기도,244659000,0.2,0.2,1,1,0.4,서부발전㈜,정회원,시장,중앙
하동#1,KR,기력,1997,500,bituminous,경남 하동군 금성면,경상남도,991424000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#2,KR,기력,1997,500,bituminous,경남 하동군 금성면,경상남도,991424000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#3,KR,기력,1998,500,bituminous,경남 하동군 금성면,경상남도,883069000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#4,KR,기력,1999,500,bituminous,경남 하동군 금성면,경상남도,883069000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#5,KR,기력,2000,500,bituminous,경남 하동군 금성면,경상남도,994264000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#6,KR,기력,2001,500,bituminous,경남 하동군 금성면,경상남도,994264000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#7,KR,기력,2008,500,bituminous,경남 하동군 금성면,경상남도,1130857000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
하동#8,KR,기력,2009,500,bituminous,경남 하동군 금성면,경상남도,962841000,0.05,0.05,5,5,0.4,남부발전㈜,정회원,시장,중앙
호남#1,KR,기력,1973,250,bituminous,전남 여수시 월내동,전라남도,,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
호남#2,KR,기력,1973,250,bituminous,전남 여수시 월내동,전라남도,,0.05,0.05,5,5,0.4,동서발전㈜,정회원,시장,중앙
가거도_1,KR,내연,2004,0.3,diesel,전남 신안군 흑산면 가거도리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
가거도_2,KR,내연,2009,0.75,diesel,전남 신안군 흑산면 가거도리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
가의도,KR,내연,1996,0.24,diesel,충남 태안군 근흥면 가의도리,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
가파도,KR,내연,1993,0.45,diesel,제주 서귀포시 대정읍 가파리,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
개야도_1,KR,내연,1994,0.5,diesel,전북 군산시 옥도면 개야도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
개야도_2,KR,내연,2006,1,diesel,전북 군산시 옥도면 개야도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
거문도_1,KR,내연,1989,2,diesel,전남 여수시 삼산면 덕촌리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
거문도_2,KR,내연,1997,0.5,diesel,전남 여수시 삼산면 덕촌리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
거문도_3,KR,내연,2005,2,diesel,전남 여수시 삼산면 덕촌리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
고대도_1,KR,내연,1996,0.1,diesel,충남 보령시 오천면,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
고대도_2,KR,내연,1996,0.3,diesel,충남 보령시 오천면,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
구자도,KR,내연,2007,0.24,diesel,전남 진도군 의신면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
낙월도,KR,내연,1994,0.75,diesel,전남 영광군 낙월면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
녹도_1,KR,내연,1996,0.16,diesel,충남 보령시 오천면,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
녹도_2,KR,내연,2011,0.1,diesel,충남 보령시 오천면,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
대청도_1,KR,내연,1995,0.45,diesel,인천 옹진군 대청면 대청리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
대청도_2,KR,내연,2006,0.5,diesel,인천 옹진군 대청면 대청리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
대청도_3,KR,내연,2011,2.6,diesel,인천 옹진군 대청면 대청리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕우도_1,KR,내연,1996,0.24,diesel,전남 완도군 생일면 봉선리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕우도_2,KR,내연,2000,0.15,diesel,전남 완도군 생일면 봉선리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕적도_1,KR,내연,1989,0.9,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕적도_2,KR,내연,1997,0.5,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕적도_3,KR,내연,2001,0.5,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
덕적도_4,KR,내연,2005,1,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
독거도_1,KR,내연,2004,0.08,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
독거도_2,KR,내연,2010,0.08,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
득량도,KR,내연,1994,0.3,diesel,전남 고흥군 도양읍,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
마라도_1,KR,내연,2011,0.3,diesel,제주 서귀포시 대정읍,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
마라도_2,KR,내연,2011,0.2,diesel,제주 서귀포시 대정읍,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
마라도_3,KR,내연,2013,0.2,diesel,제주 서귀포시 대정읍,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
매물도,KR,내연,1994,0.45,diesel,경남 통영시 한산면,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
문갑도,KR,내연,2004,0.24,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
백령도_1,KR,내연,1999,4.5,diesel,인천시 옹진군 백령면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
백령도_2,KR,내연,2001,1.5,diesel,인천시 옹진군 백령면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
백령도_3,KR,내연,2003,3,diesel,인천시 옹진군 백령면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
백령도_4,KR,내연,2013,6,diesel,인천시 옹진군 백령면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
비안도,KR,내연,1994,0.45,diesel,전북 군산시 옥도면 비안도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
비양도,KR,내연,1996,0.24,diesel,제주 제주시 한림읍 협재리,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
삽시도_1,KR,내연,1993,1,diesel,충남 보령시 오천면 삽시도리,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
삽시도_2,KR,내연,2006,0.6,diesel,충남 보령시 오천면 삽시도리,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
상화도_1,KR,내연,2006,0.08,diesel,전남 여수시 화정면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
상화도_2,KR,내연,2006,0.08,diesel,전남 여수시 화정면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
상화도_3,KR,내연,2008,0.08,diesel,전남 여수시 화정면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
성남도_1,KR,내연,2004,0.08,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
성남도_2,KR,내연,2010,0.08,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
소연평도_1,KR,내연,2002,0.5,diesel,인천 웅진군 연평면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
소연평도_2,KR,내연,2002,0.1,diesel,인천 웅진군 연평면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
소청도,KR,내연,1995,2.4,diesel,인천 옹진군 대청면 소청리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
손죽도,KR,내연,1994,0.3,diesel,전남 여수시 삼산면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
송이도_1,KR,내연,1996,0.2,diesel,전남 영광군 낙월면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
송이도_2,KR,내연,2011,0.1,diesel,전남 영광군 낙월면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
수우도_1,KR,내연,1996,0.08,diesel,경남 통영시 사량면,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
수우도_2,KR,내연,2008,0.08,diesel,경남 통영시 사량면,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
슬도,KR,내연,2006,0.24,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
승봉도_1,KR,내연,1994,0.45,diesel,인천 옹진군 자월면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
승봉도_2,KR,내연,2004,0.5,diesel,인천 옹진군 자월면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
승봉도_3,KR,내연,2008,1,diesel,인천 옹진군 자월면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
시산도,KR,내연,1994,0.75,diesel,전남 고흥군 도양읍,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어룡도,KR,내연,2006,0.24,diesel,전남 완도군 노화읍,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어의도_1,KR,내연,1996,0.08,diesel,경남 통영시 용남면,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어의도_2,KR,내연,1996,0.08,diesel,경남 통영시 용남면,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어청도_1,KR,내연,1994,0.3,diesel,전북 군산시 옥도면 어청도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어청도_2,KR,내연,2007,0.6,diesel,전북 군산시 옥도면 어청도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
어청도_3,KR,내연,2012,0.5,diesel,전북 군산시 옥도면 어청도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
여서도,KR,내연,1996,0.24,diesel,전남 완도군 청산면 여서리,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
여자도,KR,내연,1994,0.45,diesel,전남 여수시 화정면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
연도_1,KR,내연,1996,0.16,diesel,전북 군산시 옥도면 연도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
연도_2,KR,내연,2011,0.1,diesel,전북 군산시 옥도면 연도리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
연평도_1,KR,내연,2005,2,diesel,인천 옹진군 연평면 연평리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
연평도_2,KR,내연,2011,5.7,diesel,인천 옹진군 연평면 연평리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
영산도,KR,내연,2015,0.24,diesel,전남 신안군 흑산면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
왕등도,KR,내연,2006,0.24,diesel,전남 부안군 위도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
외도_1,KR,내연,2015,0.16,diesel,충남 태안군 안면읍,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
외도_2,KR,내연,2015,0.06,diesel,충남 태안군 안면읍,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
외연도_1,KR,내연,1994,0.45,diesel,충남 보령시 오천면 외연도리,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
외연도_2,KR,내연,2004,0.3,diesel,충남 보령시 오천면 외연도리,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울도,KR,내연,2003,0.24,diesel,인천 옹진군 덕적면,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울릉도_1,KR,내연,1986,2,diesel,경북 울릉군 울릉읍 서면,경상북도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울릉도_2,KR,내연,1996,3,diesel,경북 울릉군 울릉읍 서면,경상북도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울릉도_3,KR,내연,2002,1.5,diesel,경북 울릉군 울릉읍 서면,경상북도,634665000,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울릉도_4,KR,내연,2007,6,diesel,경북 울릉군 울릉읍 서면,경상북도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
울릉도_5,KR,내연,2011,6,diesel,경북 울릉군 울릉읍 서면,경상북도,957880000,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
위도_1,KR,내연,1993,1.35,diesel,전북 부안군 위도면 진리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
위도_2,KR,내연,2002,0.5,diesel,전북 부안군 위도면 진리,전북특별자치도,2889720000,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
위도_3,KR,내연,2003,1,diesel,전북 부안군 위도면 진리,전북특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
자월도_1,KR,내연,1993,0.15,diesel,인천 옹진군 자월면 자월리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
자월도_2,KR,내연,2004,1.5,diesel,인천 옹진군 자월면 자월리,인천광역시,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
장고도,KR,내연,1996,0.45,diesel,충남 보령시 오천면,충청남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
"제주GT#1,2",KR,내연,1977,110,diesel,제주 제주시 삼양동,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
제주GT#3,KR,내연,1977,55,diesel,제주 제주시 삼양동,제주특별자치도,,0.2,0.2,1,1,0.4,중부발전㈜,정회원,시장,중앙
제주내연#1,KR,내연,2005,40,heavy oil,제주 제주시 삼양동,제주특별자치도,1574736000,0.2,0.2,1,1,0.4,중부발전㈜,정회원,시장,중앙
제주내연#2,KR,내연,2009,40,heavy oil,제주 제주시 삼양동,제주특별자치도,2241737000,0.2,0.2,1,1,0.4,중부발전㈜,정회원,시장,중앙
조도_1,KR,내연,1996,1,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
조도_2,KR,내연,2008,1.6,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
조도_3,KR,내연,2016,0.8,diesel,전남 진도군 조도면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
초도,KR,내연,1992,0.75,diesel,전남 여수시 삼산면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추도,KR,내연,1994,0.24,diesel,경남 통영시 산양읍,경상남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추자도_1,KR,내연,1995,0.5,diesel,제주 제주시 추자면,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추자도_2,KR,내연,1999,0.5,diesel,제주 제주시 추자면,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추자도_3,KR,내연,1999,0.5,diesel,제주 제주시 추자면,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추자도_4,KR,내연,2007,2,diesel,제주 제주시 추자면,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
추자도_5,KR,내연,2012,2,diesel,제주 제주시 추자면,제주특별자치도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
평도,KR,내연,2005,0.24,diesel,전남 여수시 삼산면,전라남도,,0.2,0.2,1,1,0.4,한국전력,비회원,시장외,비중앙
