snapshot,name,carrier,region,components,attribute,value,status,aggregation
1/2/2025,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/2/2025,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/1/2025,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/1/2025,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/1/2025,solar_서울특별시,solar,서울특별시,generators,p_nom,47.685595,TRUE,province
1/1/2025,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/1/2025,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/1/2025,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/1/2025,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/1/2025,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/12/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/12/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/12/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,47.660195,TRUE,province
1/12/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/12/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
1/12/2024,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/12/2024,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/12/2024,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/11/2024,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,86.9,TRUE,province
1/11/2024,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/11/2024,solar_서울특별시,solar,서울특별시,generators,p_nom,47.562725,TRUE,province
1/11/2024,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/11/2024,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0,TRUE,province
