name,bus,type,build_year,p_nom,carrier,address,province,capital_cost,company,membership,market,control,cc_group,x,y
강릉안인#1,KR,ST,2022,1040,bituminous,강원 강릉시 강동면,강원특별자치도,1462552000,강릉에코파워(주),정회원,시장,중앙,,129.0057235,37.7169009
강릉안인#2,KR,ST,2022,1040,bituminous,강원 강릉시 강동면,강원특별자치도,1462552000,강릉에코파워(주),정회원,시장,중앙,,129.0057235,37.7169009
남제주#1,KR,renewable,2006,100,bio,제주 서귀포시 안덕면,제주특별자치도,1469000000,남부발전㈜,정회원,시장,중앙,,126.3144371,33.2348963
남제주#2,KR,renewable,2007,100,bio,제주 서귀포시 안덕면,제주특별자치도,1469000000,남부발전㈜,정회원,시장,중앙,,126.3144371,33.2348963
당진#1,KR,ST,1999,500,bituminous,충남 당진시 석문면,충청남도,1646894000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#10,KR,ST,2016,1020,bituminous,충남 당진시 석문면,충청남도,1479050000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#2,KR,ST,1999,500,bituminous,충남 당진시 석문면,충청남도,1646894000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#3,KR,ST,2000,500,bituminous,충남 당진시 석문면,충청남도,1139396000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#4,KR,ST,2001,500,bituminous,충남 당진시 석문면,충청남도,1139396000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#5,KR,ST,2005,500,bituminous,충남 당진시 석문면,충청남도,940867000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#6,KR,ST,2006,500,bituminous,충남 당진시 석문면,충청남도,940867000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#7,KR,ST,2007,500,bituminous,충남 당진시 석문면,충청남도,836200000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#8,KR,ST,2007,500,bituminous,충남 당진시 석문면,충청남도,836200000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
당진#9,KR,ST,2016,1020,bituminous,충남 당진시 석문면,충청남도,1479050000,동서발전㈜,정회원,시장,중앙,,126.53523,37.00826
