name,bus0,bus1,length,circuits,voltage,r,x,b,s_nom,num_parallel,v_nom
85,62,38,47.94991327,1,345000,2.397495663,11.98747832,0,,1,345000
86,63,63,0.555041531,1,154000,0.027752077,0.138760383,0,,1,154000
87,62,63,9.893066518,1,154000,0.494653326,2.47326663,0,,1,154000
88,64,59,19.83170077,1,345000,0.991585038,4.957925192,0,,1,345000
89,65,27,15.26807952,1,154000,0.763403976,3.817019881,0,,1,154000
90,66,5,6.901491044,1,154000,0.345074552,1.725372761,0,,1,154000
91,27,67,10.58903351,1,154000,0.529451675,2.647258377,0,,1,154000
92,21,5,21.32705107,1,345000,1.066352553,5.331762767,0,,1,345000
93,1,21,87.88077633,1,765000,4.394038817,21.97019408,0,,1,765000
94,152,21,23.7419076,1,345000,1.18709538,5.9354769,0,,1,345000
95,68,152,15.91209621,1,154000,0.795604811,3.978024053,0,,1,154000
96,152,152,12.94565639,1,345000,0.64728282,3.236414099,0,,1,345000
97,21,152,15.29098549,1,345000,0.764549275,3.822746373,0,,1,345000
98,69,70,11.70703428,1,154000,0.585351714,2.926758569,0,,1,154000
99,65,65,4.84717523,1,154000,0.242358761,1.211793807,0,,1,154000
100,64,64,18.9210562,1,345000,0.94605281,4.730264051,0,,1,345000
101,71,67,11.79381538,1,154000,0.589690769,2.948453845,0,,1,154000
102,72,57,24.83755748,1,154000,1.241877874,6.209389371,0,,1,154000
103,73,74,117.9848554,1,345000,5.899242768,29.49621384,0,,1,345000
104,75,76,8.09339378,1,154000,0.404669689,2.023348445,0,,1,154000
105,77,78,41.0692881,1,154000,2.053464405,10.26732202,0,,1,154000
106,40,40,5.056315913,1,154000,0.252815796,1.264078978,0,,1,154000
107,40,40,3.203888066,1,154000,0.160194403,0.800972017,0,,1,154000
108,40,79,16.85657242,1,154000,0.842828621,4.214143106,0,,1,154000
109,40,62,22.65380658,1,345000,1.132690329,5.663451646,0,,1,345000
110,41,40,16.69534405,1,345000,0.834767203,4.173836013,0,,1,345000
111,41,41,2.576235057,1,154000,0.128811753,0.644058764,0,,1,154000
112,41,41,5.938117334,1,154000,0.296905867,1.484529334,0,,1,154000
113,42,80,85.34163166,1,345000,4.267081583,21.33540792,0,,1,345000
114,81,82,13.59251975,1,154000,0.679625987,3.398129937,0,,1,154000
115,83,84,20.58761935,1,154000,1.029380967,5.146904836,0,,1,154000
116,84,86,18.85592471,1,154000,0.942796235,4.713981177,0,,1,154000
117,87,88,17.83175515,1,154000,0.891587758,4.457938788,0,,1,154000
118,89,87,17.40069521,1,154000,0.87003476,4.350173802,0,,1,154000
119,85,90,5.320082491,1,154000,0.266004125,1.330020623,0,,1,154000
120,90,90,0.255472872,1,154000,0.012773644,0.063868218,0,,1,154000
121,90,90,0.24382828,1,154000,0.012191414,0.06095707,0,,1,154000
122,87,91,13.37227503,1,154000,0.668613752,3.343068758,0,,1,154000
123,2,2,7.09014112,1,154000,0.354507056,1.77253528,0,,1,154000
124,88,88,0.32051547,1,154000,0.016025774,0.080128868,0,,1,154000
125,88,88,4.41017953,1,154000,0.220508977,1.102544883,0,,1,154000
126,88,86,14.40010661,1,154000,0.72000533,3.600026652,0,,1,154000
127,3,3,2.842359452,1,154000,0.142117973,0.710589863,0,,1,154000
128,3,3,6.851330936,1,154000,0.342566547,1.712832734,0,,1,154000
129,3,93,13.13319918,1,154000,0.656659959,3.283299795,0,,1,154000
130,3,93,12.67655035,1,154000,0.633827518,3.169137588,0,,1,154000
131,2,2,2.796081692,1,154000,0.139804085,0.699020423,0,,1,154000
132,94,2,15.45762237,1,154000,0.772881118,3.864405591,0,,1,154000
133,2,95,9.70824806,1,154000,0.485412403,2.427062015,0,,1,154000
134,96,2,13.89399967,1,154000,0.694699984,3.473499919,0,,1,154000
135,97,2,37.83189816,1,345000,1.891594908,9.457974539,0,,1,345000
136,98,99,71.83968248,1,345000,3.591984124,17.95992062,0,,1,345000
137,100,101,6.398763014,1,154000,0.319938151,1.599690754,0,,1,154000
138,68,68,7.189427651,1,345000,0.359471383,1.797356913,0,,1,345000
139,68,68,7.32621489,1,154000,0.366310745,1.831553723,0,,1,154000
140,101,101,4.302270639,1,154000,0.215113532,1.07556766,0,,1,154000
141,2,102,5.849411716,1,345000,0.292470586,1.462352929,0,,1,345000
142,178,316,9.7926548,1,154000,0.48963274,2.4481637,0,,1,154000
143,68,64,4.682334237,1,154000,0.234116712,1.170583559,0,,1,154000
144,64,178,17.92077752,1,345000,0.896038876,4.480194381,0,,1,345000
145,68,68,0.179643498,1,345000,0.008982175,0.044910874,0,,1,345000
146,68,68,0.055250981,1,345000,0.002762549,0.013812745,0,,1,345000
147,68,68,0.059948324,1,345000,0.002997416,0.014987081,0,,1,345000
148,68,68,0.332374361,1,345000,0.016618718,0.08309359,0,,1,345000
149,68,68,0.054826707,1,345000,0.002741335,0.013706677,0,,1,345000
150,68,68,0.293020091,1,345000,0.014651005,0.073255023,0,,1,345000
151,68,68,0.052140444,1,345000,0.002607022,0.013035111,0,,1,345000
152,68,68,0.068084517,1,345000,0.003404226,0.017021129,0,,1,345000
153,68,68,0.055926407,1,345000,0.00279632,0.013981602,0,,1,345000
154,68,68,0.289796318,1,345000,0.014489816,0.072449079,0,,1,345000
155,68,68,0.063641171,1,345000,0.003182059,0.015910293,0,,1,345000
156,68,68,0.055238308,1,345000,0.002761915,0.013809577,0,,1,345000
157,68,68,0.241463759,1,154000,0.012073188,0.06036594,0,,1,154000
158,68,178,9.167188643,1,154000,0.458359432,2.291797161,0,,1,154000
159,316,68,9.173902422,1,154000,0.458695121,2.293475605,0,,1,154000
160,68,178,18.79224952,1,345000,0.939612476,4.698062381,0,,1,345000
161,64,64,1.572851573,1,154000,0.078642579,0.393212893,0,,1,154000
162,53,53,3.888264418,1,154000,0.194413221,0.972066104,0,,1,154000
163,53,53,5.017231759,1,154000,0.250861588,1.25430794,0,,1,154000
164,53,103,38.24513893,1,154000,1.912256946,9.561284732,0,,1,154000
165,8,8,0.265514831,1,345000,0.013275742,0.066378708,0,,1,345000
166,8,8,0.264955406,1,345000,0.01324777,0.066238852,0,,1,345000
167,8,8,0.232571858,1,345000,0.011628593,0.058142965,0,,1,345000
168,16,16,0.189206058,1,345000,0.009460303,0.047301514,0,,1,345000
169,16,16,0.179129587,1,345000,0.008956479,0.044782397,0,,1,345000
170,52,52,0.483817971,1,154000,0.024190899,0.120954493,0,,1,154000
171,8,8,0.249641041,1,345000,0.012482052,0.06241026,0,,1,345000
172,8,8,0.283209635,1,345000,0.014160482,0.070802409,0,,1,345000
173,8,8,0.207219015,1,345000,0.010360951,0.051804754,0,,1,345000
174,8,8,0.20286245,1,345000,0.010143123,0.050715613,0,,1,345000
175,8,8,0.200955159,1,345000,0.010047758,0.05023879,0,,1,345000
176,8,8,0.258774431,1,345000,0.012938722,0.064693608,0,,1,345000
177,8,8,0.213109895,1,345000,0.010655495,0.053277474,0,,1,345000
178,52,16,11.65901767,1,154000,0.582950883,2.914754417,0,,1,154000
179,104,53,37.36072065,1,345000,1.868036032,9.340180161,0,,1,345000
180,101,101,0.095207394,1,345000,0.00476037,0.023801848,0,,1,345000
181,101,101,0.099642587,1,345000,0.004982129,0.024910647,0,,1,345000
182,10,10,0.103713235,1,345000,0.005185662,0.025928309,0,,1,345000
183,10,10,0.1165647,1,345000,0.005828235,0.029141175,0,,1,345000
184,101,101,0.768151047,1,345000,0.038407552,0.192037762,0,,1,345000
185,10,10,0.26748215,1,345000,0.013374107,0.066870537,0,,1,345000
186,10,10,0.267095071,1,345000,0.013354754,0.066773768,0,,1,345000
187,105,106,15.73050835,1,345000,0.786525417,3.932627087,0,,1,345000
188,36,92,52.75164742,1,345000,2.637582371,13.18791186,0,,1,345000
189,36,36,0.072393952,1,345000,0.003619698,0.018098488,0,,1,345000
190,36,36,0.120143258,1,345000,0.006007163,0.030035814,0,,1,345000
191,93,93,0.055991275,1,154000,0.002799564,0.013997819,0,,1,154000
192,36,36,0.067868484,1,345000,0.003393424,0.016967121,0,,1,345000
193,93,93,0.057296321,1,154000,0.002864816,0.01432408,0,,1,154000
194,36,36,0.110545891,1,345000,0.005527295,0.027636473,0,,1,345000
195,92,92,0.118213119,1,345000,0.005910656,0.02955328,0,,1,345000
196,92,92,0.111462095,1,345000,0.005573105,0.027865524,0,,1,345000
197,92,92,0.115572963,1,345000,0.005778648,0.028893241,0,,1,345000
198,92,92,0.112785641,1,345000,0.005639282,0.02819641,0,,1,345000
199,36,36,0.069141005,1,345000,0.00345705,0.017285251,0,,1,345000
200,93,93,0.149114725,1,154000,0.007455736,0.037278681,0,,1,154000
201,93,93,0.14649669,1,154000,0.007324835,0.036624173,0,,1,154000
202,36,36,0.068235072,1,345000,0.003411754,0.017058768,0,,1,345000
203,38,107,6.97345223,1,154000,0.348672611,1.743363057,0,,1,154000
204,38,38,3.214466343,1,154000,0.160723317,0.803616586,0,,1,154000
205,108,109,9.700156731,1,154000,0.485007837,2.425039183,0,,1,154000
206,92,110,20.32111102,1,154000,1.016055551,5.080277754,0,,1,154000
207,93,93,0.051857081,1,154000,0.002592854,0.01296427,0,,1,154000
208,93,93,0.052721838,1,154000,0.002636092,0.01318046,0,,1,154000
209,97,111,65.4215547,1,345000,3.271077735,16.35538867,0,,1,345000
210,112,97,23.25930632,1,345000,1.162965316,5.814826581,0,,1,345000
211,93,113,12.47782214,1,154000,0.623891107,3.119455534,0,,1,154000
212,32,32,0.069561611,1,345000,0.003478081,0.017390403,0,,1,345000
213,32,32,0.094706111,1,345000,0.004735306,0.023676528,0,,1,345000
214,73,34,7.927384329,1,345000,0.396369216,1.981846082,0,,1,345000
215,35,33,10.01789861,1,345000,0.50089493,2.504474652,0,,1,345000
216,32,32,0.28777726,1,345000,0.014388863,0.071944315,0,,1,345000
217,32,32,0.210738503,1,345000,0.010536925,0.052684626,0,,1,345000
218,32,32,0.331084802,1,345000,0.01655424,0.082771201,0,,1,345000
219,32,32,0.176912847,1,345000,0.008845642,0.044228212,0,,1,345000
220,33,33,1.123943252,1,345000,0.056197163,0.280985813,0,,1,345000
221,33,33,1.21350035,1,345000,0.060675017,0.303375087,0,,1,345000
222,2,2,0.485888679,1,345000,0.024294434,0.12147217,0,,1,345000
223,2,2,0.480511581,1,345000,0.024025579,0.120127895,0,,1,345000
224,2,2,0.334879981,1,345000,0.016743999,0.083719995,0,,1,345000
225,2,2,0.120913488,1,345000,0.006045674,0.030228372,0,,1,345000
226,2,2,0.048441663,1,345000,0.002422083,0.012110416,0,,1,345000
227,2,2,0.176262962,1,345000,0.008813148,0.04406574,0,,1,345000
228,2,2,0.09268133,1,345000,0.004634067,0.023170333,0,,1,345000
229,114,32,106.3019561,1,345000,5.315097807,26.57548903,0,,1,345000
230,2,2,0.122423264,1,345000,0.006121163,0.030605816,0,,1,345000
231,2,2,0.341608448,1,345000,0.017080422,0.085402112,0,,1,345000
232,2,2,0.443371582,1,345000,0.022168579,0.110842895,0,,1,345000
233,2,2,0.322887152,1,345000,0.016144358,0.080721788,0,,1,345000
234,2,2,0.222769577,1,345000,0.011138479,0.055692394,0,,1,345000
235,2,2,0.217893315,1,345000,0.010894666,0.054473329,0,,1,345000
236,2,2,0.301995796,1,345000,0.01509979,0.075498949,0,,1,345000
237,96,115,37.95113135,1,154000,1.897556567,9.487782837,0,,1,154000
238,97,97,0.043521777,1,345000,0.002176089,0.010880444,0,,1,345000
239,97,97,0.127141575,1,345000,0.006357079,0.031785394,0,,1,345000
240,97,97,0.044347601,1,345000,0.00221738,0.0110869,0,,1,345000
241,97,97,0.03906746,1,345000,0.001953373,0.009766865,0,,1,345000
242,97,97,0.039191868,1,345000,0.001959593,0.009797967,0,,1,345000
243,97,97,0.0528048,1,345000,0.00264024,0.0132012,0,,1,345000
244,97,97,0.051237304,1,345000,0.002561865,0.012809326,0,,1,345000
245,97,97,1.322017748,1,345000,0.066100887,0.330504437,0,,1,345000
246,6,6,0.111760411,1,154000,0.005588021,0.027940103,0,,1,154000
247,110,110,0.233063388,1,154000,0.011653169,0.058265847,0,,1,154000
248,6,6,0.135877509,1,154000,0.006793875,0.033969377,0,,1,154000
249,97,97,0.126677512,1,345000,0.006333876,0.031669378,0,,1,345000
250,110,110,0.250368789,1,154000,0.012518439,0.062592197,0,,1,154000
251,6,6,0.09193713,1,154000,0.004596856,0.022984282,0,,1,154000
252,6,6,0.12588558,1,154000,0.006294279,0.031471395,0,,1,154000
253,6,6,0.102553546,1,154000,0.005127677,0.025638386,0,,1,154000
254,6,6,0.118517852,1,154000,0.005925893,0.029629463,0,,1,154000
255,36,37,9.645313388,1,154000,0.482265669,2.411328347,0,,1,154000
256,10,116,33.36707976,1,345000,1.668353988,8.34176994,0,,1,345000
257,64,64,0.091063114,1,345000,0.004553156,0.022765779,0,,1,345000
258,21,21,0.436333234,1,345000,0.021816662,0.109083308,0,,1,345000
259,21,21,0.078634,1,345000,0.0039317,0.0196585,0,,1,345000
260,64,64,0.132303788,1,345000,0.006615189,0.033075947,0,,1,345000
261,10,10,0.282289487,1,345000,0.014114474,0.070572372,0,,1,345000
262,10,10,0.263146806,1,345000,0.01315734,0.065786701,0,,1,345000
263,6,6,1.068597284,1,154000,0.053429864,0.267149321,0,,1,154000
264,110,110,0.712038371,1,154000,0.035601919,0.178009593,0,,1,154000
265,110,117,20.89316656,1,154000,1.044658328,5.223291641,0,,1,154000
266,97,118,33.14049406,1,154000,1.657024703,8.285123514,0,,1,154000
267,43,119,69.15262643,1,345000,3.457631322,17.28815661,0,,1,345000
268,43,43,0.060617638,1,345000,0.003030882,0.015154409,0,,1,345000
269,43,43,0.054394517,1,345000,0.002719726,0.013598629,0,,1,345000
270,43,43,0.06023678,1,345000,0.003011839,0.015059195,0,,1,345000
271,43,43,0.059517307,1,345000,0.002975865,0.014879327,0,,1,345000
272,43,43,0.06231096,1,345000,0.003115548,0.01557774,0,,1,345000
273,43,43,0.058437046,1,345000,0.002921852,0.014609262,0,,1,345000
274,43,120,44.63356472,1,345000,2.231678236,11.15839118,0,,1,345000
275,121,122,15.59293667,1,154000,0.779646834,3.898234169,0,,1,154000
276,119,119,0.053439468,1,345000,0.002671973,0.013359867,0,,1,345000
277,119,119,0.058638483,1,345000,0.002931924,0.014659621,0,,1,345000
278,119,119,0.052172556,1,345000,0.002608628,0.013043139,0,,1,345000
279,119,119,0.04975658,1,345000,0.002487829,0.012439145,0,,1,345000
280,44,119,16.65595944,1,345000,0.832797972,4.163989859,0,,1,345000
281,111,119,77.4143196,1,345000,3.87071598,19.3535799,0,,1,345000
